"",,,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Agricultural water withdrawal (10^9 m3/year)","Bahamas","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Barbados","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1989,0.0548,"L","[6]",1996,0.0548,"L",,,,"",,2005,0.0548,"L","[7,8]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Dominica","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2010,0.001,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Grenada","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,0.0022,"L","[9]",,,"",,,,"",,,,"",,2014,0.0021,"I",
"Agricultural water withdrawal (10^9 m3/year)","Saint Kitts and Nevis","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,2.0E-4,"L","[10]",,,"",,,,"",,2012,2.0E-4,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Saint Lucia","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2007,0.0304,"I",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Saint Vincent and the Grenadines","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.0101,"L","[11]",,,"",,,,"",,,,"",,,,"",,2013,0.0,"I",
"Agricultural water withdrawal (10^9 m3/year)","Trinidad and Tobago","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,0.0156,"",,2000,0.017,"",,2005,0.015,"I",,2011,0.0167,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Canada","Americas | Northern America | Northern America",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,3.991,"E","[12]",1996,4.104,"E","[13]",,,"",,2007,2.322,"E",,2010,4.749,"L","[14,15]",2015,2.639,"",
"Agricultural water withdrawal (10^9 m3/year)","United States of America","Americas | Northern America | Northern America",,,"",,,,"",,1969,100.1,"",,1974,106.5,"",,1979,117.1,"",,,,"",,1990,194.7,"","[16]",,,"",,2000,196.5,"","[17,18]",2005,191.9,"","[19,20]",2010,175.1,"","[21,22]",2015,176.2,"",
"Agricultural water withdrawal (10^9 m3/year)","Mexico","Americas | Northern America | Mexico",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,62.5,"E",,2002,56.1,"",,2007,60.57,"",,2012,63.35,"",,2017,66.8,"",
"Agricultural water withdrawal (10^9 m3/year)","Guyana","Americas | Southern America | Guyana",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,1.438,"",,,,"",,2000,1.6,"L",,,,"",,2010,1.363,"L","[23]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Suriname","Americas | Southern America | Guyana",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.41,"",,,,"",,,,"",,2000,0.62,"L",,2006,0.4311,"L","[24]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Bolivia (Plurinational State of)","Americas | Southern America | Andean",,,"",,,,"",,,,"",,,,"",,,,"",,1987,1.054,"",,,,"",,,,"",,1999,1.777,"L","[25]",,,"",,2008,1.92,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Colombia","Americas | Southern America | Andean",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1996,3.308,"",,2000,4.92,"L",,,,"",,2008,6.391,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Ecuador","Americas | Southern America | Andean",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,8.076,"L","[26]",2005,8.076,"L","[27,28]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Peru","Americas | Southern America | Andean",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2008,12.12,"",,2016,13.1,"",
"Agricultural water withdrawal (10^9 m3/year)","Venezuela (Bolivarian Republic of)","Americas | Southern America | Andean",,,"",,,,"",,1970,1.886,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,3.97,"L",,2007,16.71,"I",,2008,16.71,"L","[29]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Brazil","Americas | Southern America | Brazil",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1996,33.43,"",,,,"",,2006,31.7,"",,2010,44.9,"",,2017,39.43,"",
"Agricultural water withdrawal (10^9 m3/year)","Argentina","Americas | Southern America | Southern America",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,21.52,"",,2000,21.52,"L",,,,"",,2011,27.93,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Chile","Americas | Southern America | Southern America",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2006,29.42,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Paraguay","Americas | Southern America | Southern America",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.3354,"",,,,"",,,,"",,2000,0.35,"L",,,,"",,2012,1.897,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Uruguay","Americas | Southern America | Southern America",,,"",,1965,0.5915,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,3.17,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Algeria","World | Africa",,,"",,,,"",,,,"",,,,"",,1980,2.22,"",,,,"",,1990,2.7,"",,,,"",,2001,3.502,"L","[30]",,,"",,2012,4.99,"I","[31]",2017,6.671,"",
"Agricultural water withdrawal (10^9 m3/year)","Angola","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.365,"",,,,"",,,,"",,2000,0.21,"L",,2005,0.1467,"L","[32]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Benin","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.064,"",,1990,0.0823,"I",,1994,0.097,"",,2001,0.059,"I",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Botswana","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,0.054,"",,1995,0.0638,"I",,2000,0.08,"","[33]",,,"",,2012,0.0743,"",,2017,0.069,"",
"Agricultural water withdrawal (10^9 m3/year)","Burkina Faso","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.23,"",,1992,0.303,"",,,,"",,2001,0.4207,"L","[34]",2005,0.4207,"L",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Burundi","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.064,"",,,,"",,,,"",,2000,0.222,"I",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Cabo Verde","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.022,"",,,,"",,2000,0.02,"L",,2004,0.025,"L","[35]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Cameroon","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.14,"",,1992,0.14,"",,,,"",,2000,0.737,"L","[36]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Central African Republic","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,4.0E-4,"L","[37]",,,"",,,,"",,2000,4.0E-4,"L","[38,39]",2005,4.0E-4,"L","[40,41]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Chad","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.148,"",,,,"",,,,"",,2002,0.6722,"L","[42]",2005,0.6722,"L","[43,44]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Comoros","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1999,0.0047,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Congo","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0044,"",,,,"",,,,"",,2002,0.004,"I",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Côte d'Ivoire","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.475,"",,,,"",,1994,0.8,"",,2000,0.6,"L",,2005,0.5953,"L","[45,46]",2008,0.5953,"L","[47]",2014,0.6,"",
"Agricultural water withdrawal (10^9 m3/year)","Democratic Republic of the Congo","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.083,"",,2000,0.0719,"L","[48]",2005,0.0719,"L","[49,50]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Djibouti","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.007,"",,,,"",,,,"",,2000,0.003,"","[51]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Egypt","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,50.71,"I",,2000,59.0,"",,,,"",,2012,61.5,"",,2017,61.35,"",
"Agricultural water withdrawal (10^9 m3/year)","Equatorial Guinea","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,6.0E-4,"",,,,"",,,,"",,2000,0.001,"L",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Eritrea","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.29,"L",,2004,0.55,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Eswatini","World | Africa",,,"",,,,"",,,,"",,,,"",,1980,0.63,"",,,,"",,,,"",,,,"",,2000,1.006,"I","[52]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Ethiopia","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,5.204,"I",,2005,7.0,"I",,,,"",,2016,9.687,"K","[53]"
"Agricultural water withdrawal (10^9 m3/year)","Gabon","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0036,"",,,,"",,,,"",,2000,0.0403,"L","[54]",2005,0.0403,"L","[55,56]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Gambia","World | Africa",,,"",,,,"",,,,"",,,,"",,1982,0.0182,"",,,,"",,,,"",,,,"",,1999,0.0392,"L","[57]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Ghana","World | Africa",,,"",,,,"",,1970,0.156,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.652,"I",,,,"",,,,"",,2016,1.07,"",
"Agricultural water withdrawal (10^9 m3/year)","Guinea","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.644,"",,,,"",,,,"",,2001,0.2929,"L","[58]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Guinea-Bissau","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,0.006,"",,1996,0.144,"",,2000,0.144,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Kenya","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,1.566,"",,,,"",,2000,1.01,"L",,2003,1.75,"","[59]",2010,1.907,"","[60]",2016,3.234,"",
"Agricultural water withdrawal (10^9 m3/year)","Lesotho","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.028,"",,,,"",,,,"",,1999,0.0038,"L","[61]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Liberia","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.078,"",,,,"",,,,"",,2000,0.0123,"L","[62]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Libya","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1985,1.965,"",,1990,4.28,"",,1994,4.0,"",,2000,3.584,"",,,,"",,2012,4.85,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Madagascar","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1984,16.14,"",,,,"",,,,"",,2000,13.0,"I",,2005,13.0,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Malawi","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,0.809,"",,2002,1.166,"L","[63]",2005,1.166,"L","[64,65]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Mali","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,1.319,"",,,,"",,1996,3.725,"",,2001,4.99,"",,2006,5.075,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Mauritania","World | Africa",,,"",,,,"",,,,"",,,,"",,1980,0.613,"",,1985,1.5,"",,,,"",,,,"",,2000,1.5,"L",,2004,1.223,"L","[66]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Mauritius","World | Africa",,,"",,,,"",,,,"",,1974,0.2768,"",,,,"",,,,"",,,,"",,1995,0.46,"",,,,"",,2007,0.423,"",,2012,0.365,"",,2017,0.344,"","[67]"
"Agricultural water withdrawal (10^9 m3/year)","Morocco","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,10.18,"",,1995,9.884,"I",,2002,11.05,"",,,,"",,2010,9.156,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Mozambique","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.54,"",,,,"",,2001,0.69,"L","[68]",,,"",,,,"",,2015,1.076,"",
"Agricultural water withdrawal (10^9 m3/year)","Namibia","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.115,"",,1991,0.17,"",,1995,0.1915,"I",,2002,0.201,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Niger","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1988,0.41,"",,,,"",,,,"",,2005,0.6565,"L","[69]",,,"",,2016,1.536,"",
"Agricultural water withdrawal (10^9 m3/year)","Nigeria","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,3.92,"L",,,,"",,,,"",,2000,5.51,"L",,2004,5.51,"L",,2010,5.51,"L",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Rwanda","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.102,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Sao Tome and Principe","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2016,0.0256,"",
"Agricultural water withdrawal (10^9 m3/year)","Senegal","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,1.251,"",,,,"",,,,"",,2002,2.065,"I",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Seychelles","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1989,9.0E-4,"I",,,,"",,,,"",,2003,9.0E-4,"I",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Sierra Leone","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.329,"",,1992,0.0457,"L","[70]",,,"",,2000,0.0457,"L","[71,72]",2005,0.0457,"L","[73,74]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Somalia","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.786,"",,,,"",,,,"",,2000,3.28,"L",,2003,3.281,"I",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","South Africa","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,9.58,"",,1995,8.708,"I",,2000,7.836,"",,,,"",,,,"",,2017,11.39,"",
"Agricultural water withdrawal (10^9 m3/year)","South Sudan","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2011,0.24,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Sudan","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2011,25.91,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Togo","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.023,"",,,,"",,,,"",,2002,0.076,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Tunisia","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,2.728,"",,1995,2.446,"I",,2000,2.165,"",,,,"",,2011,2.644,"I","[75]",2017,3.773,"",
"Agricultural water withdrawal (10^9 m3/year)","Uganda","World | Africa",,,"",,,,"",,1970,0.12,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,0.12,"",,,,"",,2008,0.259,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","United Republic of Tanzania","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,1.04,"",,2002,4.632,"K","[76]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Zambia","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,1.339,"",,1994,1.318,"",,2002,1.152,"L","[77]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Zimbabwe","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.964,"",,,,"",,,,"",,2002,3.318,"","[78]",2007,2.93,"","[79]",,,"",,2017,2.77,"",
"Agricultural water withdrawal (10^9 m3/year)","Afghanistan","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,1987,25.85,"",,,,"",,,,"",,1998,20.0,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Armenia","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,1.94,"",,2002,1.14,"I",,2007,1.89,"",,2012,2.108,"",,2017,2.127,"",
"Agricultural water withdrawal (10^9 m3/year)","Azerbaijan","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,10.93,"",,1997,9.254,"",,2002,6.376,"",,2007,8.581,"",,2012,8.887,"",,2017,9.27,"",
"Agricultural water withdrawal (10^9 m3/year)","Bahrain","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.135,"",,,,"",,2000,0.17,"L",,2003,0.1592,"",,,,"",,2016,0.1447,"",
"Agricultural water withdrawal (10^9 m3/year)","Bangladesh","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2008,31.5,"","[80]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Bhutan","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2008,0.318,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Brunei Darussalam","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.0053,"L","[81]",,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Cambodia","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2006,2.053,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","China","World | Asia",,,"",,,,"",,,,"",,,,"",,1980,391.2,"",,1985,415.2,"I",,1990,415.0,"",,1993,407.7,"",,2000,378.4,"",,2007,360.0,"",,2012,388.0,"",,2015,385.2,"",
"Agricultural water withdrawal (10^9 m3/year)","Democratic People's Republic of Korea","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,6.61,"L",,,,"",,2005,6.61,"L",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Georgia","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2005,1.055,"","[82]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","India","World | Asia",,,"",,,,"",,,,"",,1975,353.4,"",,1980,411.7,"I",,1986,468.0,"I",,1990,460.0,"",,,,"",,2000,558.4,"L",,,,"",,2010,688.0,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Indonesia","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,69.24,"",,,,"",,2000,92.76,"",,,,"",,,,"",,2016,189.7,"",
"Agricultural water withdrawal (10^9 m3/year)","Iran (Islamic Republic of)","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,76.0,"",,2001,83.75,"I",,2004,86.0,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Iraq","World | Asia",,,"",,,,"",,,,"",,1975,39.53,"",,1980,39.77,"I",,1985,40.0,"",,1990,39.38,"",,1995,45.69,"I",,2000,52.0,"",,,,"",,,,"",,2016,35.27,"",
"Agricultural water withdrawal (10^9 m3/year)","Israel","World | Asia",,,"",,,,"",,1970,1.249,"",,1975,1.242,"I",,1980,1.235,"",,,,"",,1990,1.216,"",,,,"",,2002,1.021,"",,2004,1.129,"",,2010,1.1,"",,2017,1.249,"",
"Agricultural water withdrawal (10^9 m3/year)","Japan","World | Asia",,,"",,,,"",,,,"",,,,"",,1980,58.0,"",,,,"",,1992,58.6,"",,1997,58.88,"E",,2002,56.05,"E","[83]",2007,54.5,"E","[84]",2009,54.43,"E","[85]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Jordan","World | Asia",,,"",,,,"",,,,"",,1975,0.293,"",,1980,0.377,"I",,1985,0.461,"",,1992,0.737,"",,,,"",,2002,0.517,"","[86]",2007,0.589,"","[87]",2012,0.462,"","[88]",2016,0.5547,"","[89]"
"Agricultural water withdrawal (10^9 m3/year)","Kazakhstan","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,27.41,"",,2002,15.17,"",,2007,14.46,"",,2012,12.49,"",,2017,15.12,"",
"Agricultural water withdrawal (10^9 m3/year)","Kuwait","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,0.324,"",,2002,0.4919,"",,,,"",,,,"",,2017,0.7784,"",
"Agricultural water withdrawal (10^9 m3/year)","Kyrgyzstan","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,9.496,"",,2000,9.45,"L",,2006,7.447,"",,2011,7.1,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Lao People's Democratic Republic","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2005,3.193,"L","[90]",,,"",,2017,7.02,"",
"Agricultural water withdrawal (10^9 m3/year)","Lebanon","World | Asia",,,"",,,,"",,,,"",,1975,0.638,"",,,,"",,,,"",,,,"",,1994,0.875,"",,2000,0.92,"L",,2005,0.78,"",,,,"",,2015,0.7,"",
"Agricultural water withdrawal (10^9 m3/year)","Malaysia","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,8.3,"I",,1996,2.505,"L","[91]",,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Maldives","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.0,"",,,,"",,,,"",,,,"",,,,"",,2008,0.0,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Mongolia","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1993,0.227,"",,,,"",,2006,0.224,"",,2009,0.242,"",,2016,0.2509,"",
"Agricultural water withdrawal (10^9 m3/year)","Myanmar","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,1987,27.86,"I",,,,"",,,,"",,2000,29.57,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Nepal","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,9.32,"L","[92,93]",2006,9.32,"L","[94]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Oman","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1991,1.148,"",,,,"",,2000,1.23,"L",,2003,1.168,"",,,,"",,2013,1.607,"",
"Agricultural water withdrawal (10^9 m3/year)","Pakistan","World | Asia",,,"",,,,"",,,,"",,1975,150.3,"",,,,"",,,,"",,1991,150.6,"",,,,"",,2000,162.7,"L",,,,"",,2008,172.4,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Palestine","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2001,0.167,"",,2005,0.189,"",,,,"",,2017,0.162,"",
"Agricultural water withdrawal (10^9 m3/year)","Papua New Guinea","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2000,0.001,"L",,2005,0.001,"L",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Philippines","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2007,67.19,"",,2012,67.91,"",,2017,67.97,"",
"Agricultural water withdrawal (10^9 m3/year)","Qatar","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,0.2106,"",,2000,0.21,"L",,2007,0.254,"",,2012,0.2888,"",,2016,0.2917,"",
"Agricultural water withdrawal (10^9 m3/year)","Republic of Korea","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,14.1,"E",,1997,15.29,"E",,2002,16.1,"E","[95]",2003,15.96,"E",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Saudi Arabia","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,15.31,"",,,,"",,,,"",,2006,20.83,"E",,2012,17.51,"","[96]",2017,19.2,"","[97]"
"Agricultural water withdrawal (10^9 m3/year)","Singapore","World | Asia",,,"",,,,"",,,,"",,1975,0.0076,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Sri Lanka","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,9.379,"",,,,"",,2000,12.0,"L",,2005,11.31,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Syrian Arab Republic","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,12.84,"",,2002,14.41,"",,2003,14.67,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Tajikistan","World | Asia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1994,10.96,"",,2000,10.96,"L",,2006,10.44,"",,,,"",,,,"",
