species,source,year,produced mass (tonnes)
Smelts nei,captured,1962,11814.0
Megrim,captured,1980,11813.0
Pacific jack mackerel,captured,1986,11813.0
Various sharks nei,captured,1992,11812.0
Atlantic bay scallop,captured,1962,11808.0
Lake(=Common) whitefish,captured,1959,11807.0
Euro-American crayfishes nei,captured,1998,11806.0
Asian clam,cultured,1996,11806.0
Bastard halibut,captured,2013,11804.0
Longspine snipefish,captured,1978,11804.0
West African ilisha,captured,2005,11804.0
Scallops nei,captured,1979,11803.0
Blue mackerel,captured,2001,11801.0
Japanese flyingfish,captured,1955,11800.0
Wels(=Som) catfish,captured,1950,11800.0
Japanese corbicula,captured,1953,11800.0
Gobies nei,captured,1950,11800.0
Wolf-herrings nei,captured,1953,11800.0
Wels(=Som) catfish,captured,1951,11800.0
Buffalofishes nei,captured,1973,11800.0
Various sharks nei,captured,1950,11800.0
Tonguefishes,captured,1969,11800.0
Edible crab,captured,1953,11800.0
Kamchatka flounder,captured,1973,11800.0
Horned turban,captured,1966,11800.0
Common pandora,captured,1969,11800.0
Threadfin breams nei,captured,1959,11800.0
Pike-congers nei,captured,1962,11800.0
Atlantic pomfret,captured,1954,11800.0
Red grouper,captured,1970,11800.0
Carangids nei,captured,1956,11800.0
Cape rock lobster,captured,1970,11800.0
Smooth-hounds nei,captured,1966,11800.0
Common dab,captured,1969,11800.0
Edible crab,captured,1952,11800.0
Roach,captured,2014,11799.0
Mangrove red snapper,captured,2007,11798.0
Dungeness crab,captured,1962,11798.0
Meagre,cultured,2014,11796.98
European flounder,captured,1989,11796.0
Short neck clams nei,captured,2017,11793.0
Lake(=Common) whitefish,captured,1965,11792.0
River prawns nei,captured,1980,11789.0
Short neck clams nei,captured,1978,11788.0
Freshwater gobies nei,captured,1993,11787.0
Indian pellona,captured,2003,11783.0
"Freshwater prawns, shrimps nei",captured,1981,11782.0
Blood cockle,cultured,1952,11780.0
Atlantic thread herring,captured,2017,11778.0
Shortfin mako,captured,2015,11777.0
Pacific rudderfish,captured,1997,11777.0
Blackspot(=red) seabream,captured,1978,11776.0
Megrims nei,captured,1988,11775.0
Roaches nei,captured,2004,11775.0
Japanese seabass,captured,2007,11773.0
Tadpole codling,captured,1995,11772.0
Scallops nei,captured,2011,11770.0
South American rock mussel,cultured,2000,11770.0
Winter flounder,captured,1975,11769.0
Cholga mussel,captured,1983,11767.0
Humpback grouper,captured,2015,11767.0
Aquatic invertebrates nei,cultured,1988,11767.0
Crucian carp,captured,1991,11766.0
King crabs,captured,2007,11766.0
Kissing gourami,captured,2012,11766.0
Whitespotted conger,captured,2018,11766.0
Aba,captured,2004,11764.0
"Marlins,sailfishes,etc. nei",captured,1990,11764.0
Bastard halibut,captured,2008,11763.0
"Tambatinga, hybrid",cultured,2016,11762.18
Mozambique tilapia,captured,1990,11761.0
Common cuttlefish,captured,1991,11759.0
Tarek,captured,2008,11758.0
Summer flounder,captured,1983,11757.0
Queen scallop,captured,1986,11756.0
Sillago-whitings,captured,1982,11755.0
Pelagic red crab,captured,2006,11754.0
Striped marlin,captured,2011,11754.0
Pollack,captured,1989,11753.0
Atlantic Spanish mackerel,captured,1991,11751.0
Japanese seabass,captured,2005,11751.0
Blue ling,captured,1997,11751.0
Sea cucumbers nei,captured,1988,11750.0
Blue shrimp,cultured,1996,11750.0
Trouts nei,cultured,2007,11749.0
Bobo croaker,captured,1997,11749.0
Clearhead icefish,cultured,2005,11748.0
European perch,captured,1977,11745.0
Wels(=Som) catfish,captured,1985,11743.0
Wels(=Som) catfish,captured,2012,11741.0
American angler,captured,1987,11739.0
Aba,captured,2015,11739.0
European conger,captured,1975,11736.0
Buffalofishes nei,captured,1950,11735.0
Atlantic wolffish,captured,2016,11735.0
Blue ling,captured,2005,11735.0
Blue mackerel,captured,2018,11734.0
Lake Malawi utaka,captured,2014,11734.0
Cholga mussel,captured,2013,11733.0
Pacific cupped oyster,captured,1999,11733.0
Roach,captured,2016,11732.0
Northern quahog(=Hard clam),captured,1994,11732.0
Needlefishes nei,captured,1993,11730.0
Northern shortfin squid,captured,2009,11727.0
Atlantic salmon,captured,1986,11727.0
American angler,captured,2008,11726.0
Silver scabbardfish,captured,2015,11725.0
Indo-Pacific swamp crab,captured,1991,11723.0
Yellowleg shrimp,captured,2012,11721.0
Anglerfishes nei,captured,1996,11720.0
Northern wolffish,captured,2015,11720.0
King mackerel,captured,2000,11716.0
Chinese gizzard shad,captured,1985,11716.0
Atlantic seabob,captured,1991,11715.0
Roaches nei,captured,1999,11714.0
Polar cod,captured,1987,11713.0
Korean mussel,cultured,2000,11713.0
Southern pink shrimp,captured,1987,11712.0
Tinfoil barb,captured,1991,11711.0
Lemon sole,captured,1993,11710.0
European conger,captured,2014,11706.0
Northern prawn,captured,1958,11706.0
Ayu sweetfish,cultured,1984,11705.0
Netted prochilod,captured,2004,11705.0
Caspian shads,captured,1964,11700.0
New Zealand dredge oyster,captured,1968,11700.0
Mozambique tilapia,captured,1956,11700.0
Naked catfishes,captured,1969,11700.0
Japanese seabass,captured,2003,11700.0
Requiem sharks nei,captured,1963,11700.0
Surmullets(=Red mullets) nei,captured,1953,11700.0
Requiem sharks nei,captured,1957,11700.0
Scomber mackerels nei,captured,1955,11700.0
Glass catfishes,captured,1970,11700.0
Various sharks nei,captured,1952,11700.0
Glass catfishes,captured,1971,11700.0
Pargo breams nei,captured,1962,11700.0
Dentex nei,captured,1959,11700.0
West African estuarine prawn,captured,2005,11700.0
Blue swimming crab,captured,1965,11700.0
Bastard halibut,captured,1963,11700.0
Mouthbrooding cichlids,captured,2000,11699.0
Indo-Pacific swamp crab,cultured,2005,11698.0
Buffalofishes nei,captured,1951,11698.0
Bigeye tuna,captured,1951,11698.0
Venus clams nei,captured,1980,11697.0
Slipper cupped oyster,cultured,1994,11697.0
Deep-sea smelt,captured,1978,11694.0
European flounder,captured,1984,11691.0
Pink ear emperor,captured,2011,11689.0
Percoids nei,captured,2016,11689.0
Japanese sea cucumber,captured,1981,11687.0
Japanese sea cucumber,captured,2016,11686.0
Anglerfishes nei,captured,2013,11686.0
Torpedo-shaped catfishes nei,captured,1964,11686.0
Shortfin mako,captured,2018,11684.0
Kissing gourami,captured,2014,11682.0
Argentine red shrimp,captured,1989,11680.0
Puffers nei,captured,2018,11680.0
Crucian carp,captured,1968,11677.0
Lake(=Common) whitefish,captured,1979,11676.0
Sea squirts nei,cultured,2011,11676.0
Grass-eaters nei,captured,2008,11674.0
Klunzinger's mullet,captured,2001,11674.0
Sea mussels nei,cultured,1956,11674.0
"Triggerfishes, durgons nei",captured,2015,11669.0
African bonytongue,captured,2003,11668.0
Rock sole,captured,1987,11668.0
Red porgy,captured,1982,11667.0
Buffalofishes nei,captured,1952,11667.0
European conger,captured,1974,11666.0
Smooth-hounds nei,captured,2005,11663.0
Japanese sea cucumber,captured,2010,11661.0
Narrownose smooth-hound,captured,1993,11661.0
Piranhas nei,captured,2002,11661.0
Rainbow smelt,captured,1966,11658.0
Longfin squid,captured,1987,11658.0
Pouting(=Bib),captured,1998,11657.0
Lesser African threadfin,captured,1983,11656.0
Dover sole,captured,2009,11654.0
Queen scallop,captured,2008,11654.0
Atlantic Spanish mackerel,captured,2018,11653.0
Chinese gizzard shad,captured,2014,11651.0
West African ilisha,captured,1991,11651.0
Mozambique tilapia,captured,1980,11650.0
Humpback grouper,captured,2014,11650.0
Lake Tanganyika sprat,captured,2010,11650.0
Glass catfishes,captured,1974,11650.0
Orfe(=Ide),captured,2018,11649.0
Tinfoil barb,captured,2001,11649.0
Winter flounder,captured,1990,11647.0
Cholga mussel,captured,2004,11646.0
Spinefeet(=Rabbitfishes) nei,captured,1977,11646.0
Roaches nei,captured,2006,11646.0
Scallops nei,captured,2015,11645.0
King weakfish,captured,2011,11643.0
Hoven's carp,cultured,2018,11641.75
Kamchatka flounder,captured,1990,11641.0
Tropical spiny lobsters nei,captured,1986,11640.0
Devil anglerfish,captured,1978,11640.0
Argentine seabass,captured,1987,11637.0
Wels(=Som) catfish,captured,2007,11636.0
Tilapias nei,cultured,1967,11636.0
Wolffishes(=Catfishes) nei,captured,1991,11635.0
Corvina drum,captured,1975,11633.0
Dogfish sharks nei,captured,1982,11632.0
Roach,captured,2001,11629.0
Japanese corbicula,captured,2007,11629.0
Kutum,captured,2010,11627.0
Summer flounder,captured,1987,11626.0
Flathead sole,captured,2012,11626.0
Pangas catfish,cultured,2014,11625.54
Roach,captured,1981,11625.0
Puffers nei,captured,2001,11624.0
Tarek,captured,2007,11623.0
River and lake turtles nei,cultured,2005,11623.0
Giant gourami,cultured,1999,11623.0
Bobo croaker,captured,1992,11619.0
Dungeness crab,captured,1951,11618.0
Cholga mussel,captured,1985,11618.0
Pirapatinga,cultured,1997,11617.0
Kissing gourami,captured,2009,11615.0
Indonesian snakehead,captured,1996,11614.0
Mud carp,cultured,1970,11614.0
Asian clam,cultured,1993,11613.0
Inflated ark,cultured,1993,11613.0
Parapenaeopsis shrimps nei,captured,1979,11612.0
Bastard halibut,captured,2015,11611.0
Aquatic invertebrates nei,cultured,1996,11611.0
Moras nei,captured,2011,11611.0
Abalones nei,captured,1979,11610.0
Pelagic fishes nei,captured,1994,11610.0
Witch flounder,captured,2007,11609.0
Indo-Pacific king mackerel,captured,1970,11604.0
Volutes nei,captured,2010,11602.0
Metapenaeus shrimps nei,captured,1967,11602.0
Snappers nei,captured,1963,11600.0
Brycon amazonicus,cultured,2014,11600.0
Bogue,captured,1953,11600.0
West African estuarine prawn,captured,2007,11600.0
Chilean jack mackerel,captured,1959,11600.0
Common dab,captured,1970,11600.0
Common dab,captured,1956,11600.0
Cichlids nei,captured,1955,11600.0
Cichlids nei,captured,1956,11600.0
Dungeness crab,captured,1950,11600.0
Red grouper,captured,1969,11600.0
Halfbeaks nei,captured,1965,11600.0
Yesso scallop,captured,1963,11600.0
Picarels nei,captured,1954,11600.0
European conger,captured,1960,11600.0
Gilded catfish,captured,2006,11599.0
Indian pellona,captured,2010,11597.0
Atlantic thread herring,captured,2014,11597.0
Japanese sea cucumber,captured,2017,11597.0
False scad,captured,1988,11594.0
Spotted wolffish,captured,2012,11594.0
Japanese sandfish,captured,2007,11592.0
Imperial surf clam,captured,1992,11591.0
Piranhas nei,captured,2008,11591.0
Surmullets(=Red mullets) nei,captured,2006,11587.0
Ayu sweetfish,cultured,1994,11586.0
West African ilisha,captured,1996,11585.0
Longfin squid,captured,2018,11584.0
Striped marlin,captured,1956,11584.0
Stripped weakfish,captured,1999,11583.0
Pond smelt,captured,1987,11580.0
Silver carp,captured,2008,11580.0
Pike-congers nei,captured,1983,11580.0
Pacific jack mackerel,captured,1974,11580.0
Parapenaeopsis shrimps nei,captured,2001,11576.0
Atlantic croaker,captured,2004,11576.0
Spinefeet(=Rabbitfishes) nei,captured,1978,11576.0
Citharinus nei,captured,2015,11576.0
Marine crabs nei,cultured,2014,11575.54
Great barracuda,captured,1988,11575.0
Naked catfishes,captured,2001,11574.0
Sea mussels nei,captured,1982,11573.0
Marine fishes nei,cultured,1982,11572.0
Australian spiny lobster,captured,1988,11569.0
Atlantic Spanish mackerel,captured,1976,11567.0
Dotted gizzard shad,captured,2005,11566.0
Green tiger prawn,captured,2005,11563.0
King mackerel,captured,1995,11563.0
Surmullet,captured,2012,11562.0
Senegalese hake,captured,2016,11561.0
Upsidedown catfishes,captured,1997,11560.0
Sevenstar flying squid,captured,1990,11557.0
"Triggerfishes, durgons nei",captured,2005,11555.0
Dorab wolf-herring,captured,2005,11549.0
Turbot,captured,1994,11548.0
Japanese sandfish,captured,1979,11546.0
Atlantic Spanish mackerel,captured,1982,11546.0
Salmonids nei,cultured,2008,11545.0
Ark clams nei,captured,2005,11545.0
King crabs,captured,1993,11540.0
Pelagic red crab,captured,1987,11540.0
Striped venus,captured,1973,11539.0
Japanese hard clam,cultured,1972,11537.0
Mozambique tilapia,captured,1991,11536.0
European conger,captured,2013,11535.0
Tropical spiny lobsters nei,captured,1990,11535.0
Atlantic croaker,captured,1998,11534.0
Lesser African threadfin,captured,1990,11533.0
Caribbean spiny lobster,captured,1957,11532.0
Buffalofishes nei,captured,1987,11532.0
Scallops nei,captured,2018,11528.0
Pollack,captured,2007,11528.0
Macha clam,captured,1986,11524.0
Buffalofishes nei,captured,1974,11523.0
Yellowtail flounder,captured,2010,11523.0
Groundfishes nei,captured,1967,11523.0
Red porgy,captured,2007,11522.0
Oreo dories nei,captured,1977,11513.0
Lake Tanganyika sprat,captured,2008,11510.0
European eel,captured,1993,11509.0
Castaneta,captured,1998,11508.0
Rock shrimp,captured,1996,11501.0
Common octopus,captured,1964,11500.0
California pilchard,captured,1952,11500.0
Atlantic salmon,captured,1962,11500.0
Japanese hard clam,captured,1962,11500.0
"Gurnards, searobins nei",captured,1966,11500.0
European conger,captured,1968,11500.0
"Gurnards, searobins nei",captured,1959,11500.0
Common dab,captured,1961,11500.0
Indian scad,captured,1971,11500.0
Corvina drum,captured,1962,11500.0
Japanese seabass,captured,1980,11500.0
Speckled shrimp,cultured,2009,11500.0
European flat oyster,cultured,1965,11500.0
Blackspot(=red) seabream,captured,1972,11500.0
Norway lobster,captured,1952,11500.0
Blackspot(=red) seabream,captured,1962,11500.0
Silver croaker,captured,1967,11500.0
Silver croaker,captured,1970,11500.0
Corvina drum,captured,1954,11500.0
Kamchatka flounder,captured,1966,11500.0
Silver pomfret,captured,1968,11500.0
Glass catfishes,captured,1964,11500.0
Atlantic pomfret,captured,1957,11500.0
Pacific sierra,captured,2010,11498.0
Snakeskin gourami,captured,1952,11498.0
Striped snakehead,cultured,2004,11498.0
Argentine croaker,captured,1994,11497.0
Aba,captured,2006,11496.0
Abalones nei,captured,1975,11495.0
Naked catfishes,captured,2000,11495.0
Northern quahog(=Hard clam),captured,2011,11494.0
False abalone,captured,1993,11493.0
Japanese seabass,captured,1981,11492.0
Atlantic salmon,captured,1977,11491.0
Kissing gourami,captured,1979,11490.0
Eastern Pacific bonito,captured,1979,11488.0
Lumpfish(=Lumpsucker),captured,2008,11487.0
Dungeness crab,captured,1986,11486.0
Piranhas nei,captured,2003,11485.0
Japanese seabass,captured,1976,11484.0
European seabass,captured,2004,11484.0
Queen scallop,captured,1975,11481.0
Neon flying squid,captured,2004,11478.0
Angler(=Monk),captured,1980,11478.0
Australian spiny lobster,captured,2003,11477.0
American yellow perch,captured,1957,11476.0
Winter flounder,captured,1989,11476.0
Nilem carp,cultured,1993,11475.0
Kingklip,captured,1974,11475.0
Great barracuda,captured,2003,11473.0
Mojarras(=Silver-biddies) nei,captured,1982,11472.0
Pollack,captured,1977,11469.0
African sicklefish,captured,2008,11467.0
Roach,captured,2018,11467.0
Dover sole,captured,1995,11466.0
Pacific bluefin tuna,captured,1989,11465.0
"Freshwater prawns, shrimps nei",captured,2006,11463.0
Atlantic searobins,captured,1974,11463.0
Australian spiny lobster,captured,1979,11461.0
King mackerel,captured,2001,11461.0
Kingklip,captured,2001,11460.0
Southern bluefin tuna,captured,2014,11460.0
Black seabream,captured,2016,11460.0
Horned turban,captured,1986,11457.0
Green tiger prawn,captured,2014,11455.0
Southern red snapper,captured,1986,11453.0
Japanese corbicula,captured,2014,11452.0
Anglerfishes nei,captured,2005,11448.0
Mojarras(=Silver-biddies) nei,captured,1994,11446.0
Northern pink shrimp,captured,1997,11446.0
Snakeskin gourami,cultured,1980,11444.0
Wels(=Som) catfish,captured,1998,11444.0
Striped catfish,cultured,1982,11444.0
Queen scallop,captured,1997,11443.0
Opalescent inshore squid,captured,1980,11442.0
Barramundi(=Giant seaperch),captured,1972,11441.0
Mackerel icefish,captured,1975,11440.0
Roach,captured,2000,11439.0
Silver scabbardfish,captured,2012,11439.0
Oreo dories nei,captured,2015,11439.0
Deep-water rose shrimp,captured,2004,11438.0
Japanese sandfish,captured,2011,11438.0
Silver carp,captured,2001,11436.0
Atlantic thread herring,captured,2016,11436.0
Japanese seabass,captured,2004,11434.0
Blue shrimp,cultured,1992,11432.0
Southern red snapper,captured,1983,11430.0
Indian white prawn,cultured,1999,11428.0
African lungfishes,captured,1999,11428.0
Brazilian menhaden,captured,1995,11427.0
Pond smelt,captured,1980,11426.0
Striped snakehead,cultured,2007,11423.0
Pacific bluefin tuna,cultured,2012,11423.0
Japanese sandfish,captured,2017,11423.0
"Freshwater prawns, shrimps nei",captured,1982,11420.0
Argentine anchovy,captured,1980,11420.0
Venus clams nei,captured,2008,11419.0
Striped weakfish,captured,1979,11418.0
Mozambique tilapia,captured,1979,11414.0
Dogfish sharks nei,captured,1957,11414.0
Giant trevally,captured,2011,11414.0
Golden redfish,captured,1997,11413.0
Common pandora,captured,2011,11412.0
Silver barb,captured,1950,11411.0
Groundfishes nei,captured,1980,11411.0
Deep-sea smelt,captured,1983,11409.0
Red king crab,captured,2002,11409.0
European flounder,captured,1995,11409.0
European flounder,captured,1988,11408.0
Wolffishes(=Catfishes) nei,captured,1992,11408.0
King mackerel,captured,2005,11406.0
Tropical spiny lobsters nei,captured,1999,11406.0
Snakeskin gourami,cultured,1983,11405.0
Surmullet,captured,2018,11405.0
Crucian carp,captured,1992,11404.0
"Freshwater prawns, shrimps nei",captured,2013,11404.0
Common dolphinfish,captured,1956,11404.0
Calico scallop,captured,1974,11403.0
Imperial surf clam,captured,2004,11402.0
Big-scale sand smelt,captured,1982,11401.0
Chilean nylon shrimp,captured,1966,11400.0
"Gurnards, searobins nei",captured,1964,11400.0
Bastard halibut,captured,1964,11400.0
Mediterranean horse mackerel,captured,1969,11400.0
Bali sardinella,captured,1964,11400.0
Scallops nei,captured,1971,11400.0
Sergestid shrimps nei,captured,1972,11400.0
Snappers nei,captured,1962,11400.0
Silver pomfret,captured,1966,11400.0
Silver croaker,captured,1961,11400.0
South American pilchard,captured,1970,11400.0
Naked catfishes,captured,1968,11400.0
Dentex nei,captured,1969,11400.0
West African croakers nei,captured,1962,11400.0
Mediterranean mussel,captured,1952,11400.0
Brazilian menhaden,captured,1973,11400.0
Black seabream,captured,1977,11397.0
Atlantic halibut,captured,1966,11397.0
Ayu sweetfish,cultured,1986,11396.0
Scallops nei,captured,2016,11396.0
Orfe(=Ide),captured,2017,11396.0
Warehou nei,captured,2001,11394.0
European flounder,captured,1982,11393.0
Arrowtooth flounder,captured,1990,11393.0
Northern pink shrimp,captured,1968,11392.0
Trouts nei,cultured,1997,11392.0
Roach,captured,2002,11391.0
Righteye flounders nei,cultured,2009,11388.0
King mackerel,captured,2011,11388.0
Lemon sole,captured,1981,11387.0
Ayu sweetfish,captured,1998,11386.0
Common pandora,captured,1970,11384.0
Longfin squid,captured,2008,11384.0
Tarek,captured,2010,11382.0
Large-eye dentex,captured,1981,11381.0
Sea cucumbers nei,captured,2002,11380.0
Pacific red snapper,captured,2015,11380.0
Lumpfish(=Lumpsucker),captured,1991,11380.0
Ayu sweetfish,captured,1999,11380.0
Cachama,captured,1995,11379.0
Gilded catfish,captured,2007,11377.0
Pelagic red crab,captured,2007,11377.0
Buffalofishes nei,captured,1953,11376.0
Chinook(=Spring=King) salmon,cultured,1994,11375.0
Talang queenfish,captured,2010,11374.0
Crevalle jack,captured,2013,11374.0
Winter flounder,captured,1976,11373.0
Kingklip,captured,2003,11372.0
Atlantic salmon,captured,1976,11372.0
"Marlins,sailfishes,etc. nei",captured,1989,11372.0
Lemon sole,captured,1980,11369.0
Cyprinids nei,cultured,1972,11369.0
Pacific sierra,captured,2008,11368.0
Threadsail filefish,captured,1993,11365.0
Mystacoleucus padangensis,captured,2013,11364.0
Imperial surf clam,captured,1990,11363.0
Bastard halibut,captured,2018,11362.0
Lemon sole,captured,1979,11361.0
Atlantic halibut,captured,1967,11361.0
Chinese gizzard shad,captured,1998,11360.0
Abalones nei,captured,1957,11360.0
Aba,captured,2003,11358.0
Silversides(=Sand smelts) nei,captured,1980,11358.0
Lake(=Common) whitefish,captured,2010,11357.0
Rainbow trout,cultured,1957,11356.0
Ayu sweetfish,captured,1973,11356.0
Australian spiny lobster,captured,2001,11353.0
Sea mussels nei,cultured,1955,11353.0
Queenfishes,captured,1984,11350.0
Argentines,captured,1986,11349.0
Climbing perch,cultured,1963,11349.0
Mrigal carp,cultured,1970,11348.0
Dogfish sharks nei,captured,1996,11347.0
Beaked redfish,captured,1971,11347.0
Red pandora,captured,1979,11346.0
Lumpfish(=Lumpsucker),captured,1996,11343.0
Flathead sole,captured,2016,11343.0
Narrownose smooth-hound,captured,1995,11343.0
Lake(=Common) whitefish,captured,2006,11342.0
Lumpfish(=Lumpsucker),captured,1986,11341.0
Kingklip,captured,1978,11339.0
Glass catfishes,captured,2012,11338.0
Blue runner,captured,2015,11338.0
Tadpole codling,captured,2010,11338.0
Oreo dories nei,captured,2013,11337.0
Atlantic Spanish mackerel,captured,1980,11337.0
Asian redtail catfish,captured,2009,11336.0
Megrim,captured,1982,11336.0
Basking shark,captured,1979,11335.0
Silver barb,cultured,1973,11333.0
Abalones nei,captured,1977,11330.0
Senegalese hake,captured,2014,11329.0
Bastard halibut,captured,2011,11328.0
Pandalus shrimps nei,captured,1979,11325.0
"Freshwater prawns, shrimps nei",captured,1986,11324.0
Atlantic salmon,captured,1987,11320.0
Winter flounder,captured,1951,11318.0
Spotted wolffish,captured,2011,11315.0
Flat and cupped oysters nei,cultured,2010,11312.89
Slipper cupped oyster,cultured,1983,11310.0
Chinook(=Spring=King) salmon,cultured,2007,11310.0
Opalescent inshore squid,captured,1968,11309.0
Tilefishes nei,captured,2002,11305.0
West African goatfish,captured,2013,11304.0
Chacunda gizzard shad,captured,2009,11302.0
Ayu sweetfish,cultured,1995,11302.0
Wolffishes(=Catfishes) nei,captured,2007,11302.0
Pandalus shrimps nei,captured,1986,11301.0
River prawns nei,captured,1993,11301.0
Barramundi(=Giant seaperch),captured,1969,11300.0
Glass catfishes,captured,1965,11300.0
Atka mackerel,captured,1970,11300.0
Lumpfish(=Lumpsucker),captured,1980,11300.0
Wolf-herrings nei,captured,1952,11300.0
Edible crab,captured,1950,11300.0
Buffalofishes nei,captured,1972,11300.0
Common dab,captured,1950,11300.0
Common cuttlefish,captured,1959,11300.0
Mackerels nei,captured,1959,11300.0
European flounder,captured,1964,11300.0
Mackerels nei,captured,1961,11300.0
Dentex nei,captured,1957,11300.0
Megrim,captured,1968,11300.0
Silver-stripe round herring,captured,1966,11300.0
Glass catfishes,captured,1962,11300.0
Castaneta,captured,1973,11300.0
Sand gaper,captured,1993,11298.0
Chinese gizzard shad,captured,1989,11297.0
Milkfish,captured,2016,11297.0
Amberjacks nei,cultured,2005,11296.0
White hake,captured,1961,11296.0
Abalones nei,captured,1988,11295.0
Nilem carp,cultured,1999,11295.0
Pacific cupped oyster,captured,1977,11294.0
Roaches nei,captured,1983,11293.0
European eel,captured,1994,11292.0
Japanese corbicula,captured,2009,11289.0
Snakeskin gourami,cultured,1979,11289.0
Megrim,captured,2009,11289.0
Striped marlin,captured,1957,11288.0
Fourfinger threadfin,captured,2008,11287.0
Wels(=Som) catfish,captured,2018,11285.0
Crevalle jack,captured,1965,11280.0
Frigate tuna,captured,2000,11277.0
Tinfoil barb,captured,1984,11277.0
Terapon perches nei,captured,2015,11275.0
Indian pellona,captured,2011,11274.0
Dogfish sharks nei,captured,1966,11272.0
Mud carp,cultured,1957,11271.0
Walleye,captured,2018,11269.0
Silver warehou,captured,2001,11268.0
"Conger eels, etc. nei",captured,2007,11267.0
Puffers nei,captured,2002,11266.0
Taca clam,captured,2012,11264.0
Australian spiny lobster,captured,1985,11264.0
Tinfoil barb,captured,1999,11263.0
Atlantic rock crab,captured,2007,11263.0
Banana prawn,cultured,1977,11262.0
New Zealand blue cod,captured,1995,11262.0
Mangrove red snapper,captured,2012,11260.0
Giant river prawn,cultured,1984,11258.0
Goldfish,cultured,1985,11254.0
Silver warehou,captured,1997,11253.0
Lake(=Common) whitefish,captured,1958,11252.0
Roach,captured,2015,11251.0
False trevally,captured,1990,11251.0
Wolffishes(=Catfishes) nei,captured,1990,11251.0
West African ilisha,captured,1985,11250.0
Amberjacks nei,cultured,2003,11249.0
Dogfish sharks nei,captured,1960,11249.0
Silver barb,cultured,1974,11249.0
Pacific sierra,captured,2013,11247.0
"Freshwater prawns, shrimps nei",captured,1994,11246.0
White hake,captured,1962,11243.0
Longnose anchovy,captured,1999,11242.0
"Marlins,sailfishes,etc. nei",captured,1995,11241.0
Groundfishes nei,captured,1998,11238.0
Moonfish,captured,2018,11237.0
Parapenaeopsis shrimps nei,captured,2013,11235.0
Barramundi(=Giant seaperch),captured,1977,11235.0
Tinfoil barb,captured,1982,11235.0
Pacific cupped oyster,captured,1976,11234.0
Blue tilapia,captured,1984,11234.0
Needlefishes nei,captured,1983,11232.0
Japanese sandfish,captured,2014,11232.0
Peruvian calico scallop,cultured,1994,11231.0
Blue shrimp,cultured,1991,11231.0
Japanese hard clam,cultured,1987,11230.0
Senegalese hake,captured,1970,11229.0
Peruvian banded croaker,captured,1988,11229.0
Cockles nei,captured,1993,11226.0
Dungeness crab,captured,1952,11223.0
Various sharks nei,captured,2009,11221.0
Megrim,captured,2003,11221.0
Common dab,captured,1992,11220.0
Calico scallop,captured,1990,11220.0
Netted prochilod,captured,2001,11220.0
Gilded catfish,captured,1997,11218.0
Silver warehou,captured,2000,11218.0
King mackerel,captured,2017,11217.0
Three-spined stickleback,captured,1990,11215.0
Bastard halibut,captured,2007,11210.0
European flounder,captured,1981,11209.0
Giant tiger prawn,captured,1974,11208.0
Red pandora,captured,1991,11207.0
Various sharks nei,captured,2011,11207.0
Dogfish sharks nei,captured,1961,11205.0
Red porgy,captured,2018,11205.0
Trouts nei,cultured,1990,11202.0
Puffers nei,captured,2011,11201.0
Megrims nei,captured,1969,11200.0
Red grouper,captured,1968,11200.0
Turbot,captured,1958,11200.0
Bigeye grunt,captured,1968,11200.0
Pike-congers nei,captured,1970,11200.0
Warehou nei,captured,1973,11200.0
Horned turban,captured,1970,11200.0
Deep-sea smelt,captured,1964,11200.0
Scomber mackerels nei,captured,1958,11200.0
Common dab,captured,1968,11200.0
Pacific rudderfish,captured,1963,11200.0
Opalescent inshore squid,captured,1970,11200.0
Pouting(=Bib),captured,1959,11200.0
Dagaas (=Kapenta),captured,1951,11200.0
Saffron cod,captured,1967,11200.0
Picarels nei,captured,1957,11200.0
Mediterranean mussel,captured,1953,11200.0
Calico scallop,captured,1971,11200.0
Pacific rudderfish,captured,1962,11200.0
Cape rock lobster,captured,1969,11200.0
"Gurnards, searobins nei",captured,1965,11200.0
Bastard halibut,captured,1954,11200.0
Pike-congers nei,captured,1963,11200.0
Rainbow runner,captured,1968,11200.0
Deep-sea smelt,captured,1957,11200.0
Akiami paste shrimp,captured,1973,11199.0
Kingklip,captured,1979,11196.0
Surmullet,captured,1996,11196.0
Lake(=Common) whitefish,captured,2007,11196.0
Glass catfishes,captured,1980,11195.0
Lake(=Common) whitefish,captured,1956,11193.0
Indian white prawn,cultured,2012,11192.9
Barramundi(=Giant seaperch),cultured,1990,11191.0
Bastard halibut,captured,1976,11191.0
Moras nei,captured,1998,11190.0
Dogfish sharks nei,captured,1969,11190.0
Dover sole,captured,2008,11189.0
Wels(=Som) catfish,captured,2011,11189.0
Japanese seabass,captured,2008,11189.0
Upsidedown catfishes,captured,1982,11188.0
Atlantic croaker,captured,1958,11188.0
Roundnose grenadier,captured,1985,11188.0
Venus clams nei,captured,1981,11188.0
Blackmouth splitfin,captured,1983,11187.0
Peruvian weakfish,captured,1998,11187.0
Corvina drum,captured,1981,11187.0
Silver carp,captured,2009,11186.0
Giant gourami,cultured,1998,11183.0
Lumpfish(=Lumpsucker),captured,1985,11180.0
False abalone,captured,1988,11180.0
Longfin squid,captured,2013,11180.0
Japanese seabass,captured,1979,11179.0
Crucian carp,captured,1967,11178.0
