Year,Measurement type,Value (Spline fit)
1533,CH4 concentration (ppb),699.2
1534,CH4 concentration (ppb),699.3
1535,CH4 concentration (ppb),699.4
1536,CH4 concentration (ppb),699.5
1537,CH4 concentration (ppb),699.6
1538,CH4 concentration (ppb),699.8
1539,CH4 concentration (ppb),699.9
1540,CH4 concentration (ppb),700.1
1541,CH4 concentration (ppb),700.3
1542,CH4 concentration (ppb),700.5
1543,CH4 concentration (ppb),700.8
1544,CH4 concentration (ppb),701.1
1545,CH4 concentration (ppb),701.5
1546,CH4 concentration (ppb),701.9
1547,CH4 concentration (ppb),702.5
1548,CH4 concentration (ppb),703.1
1549,CH4 concentration (ppb),703.8
1550,CH4 concentration (ppb),704.6
1551,CH4 concentration (ppb),705.6
1552,CH4 concentration (ppb),706.6
1553,CH4 concentration (ppb),707.7
1554,CH4 concentration (ppb),708.7
1555,CH4 concentration (ppb),709.8
1556,CH4 concentration (ppb),710.7
1557,CH4 concentration (ppb),711.5
1558,CH4 concentration (ppb),712.0
1559,CH4 concentration (ppb),712.3
1560,CH4 concentration (ppb),712.3
1561,CH4 concentration (ppb),711.9
1562,CH4 concentration (ppb),711.2
1563,CH4 concentration (ppb),710.0
1564,CH4 concentration (ppb),708.5
1565,CH4 concentration (ppb),706.7
1566,CH4 concentration (ppb),704.6
1567,CH4 concentration (ppb),702.4
1568,CH4 concentration (ppb),700.0
1569,CH4 concentration (ppb),697.6
1570,CH4 concentration (ppb),695.1
1571,CH4 concentration (ppb),692.7
1572,CH4 concentration (ppb),690.3
1573,CH4 concentration (ppb),688.1
1574,CH4 concentration (ppb),686.1
1575,CH4 concentration (ppb),684.3
1576,CH4 concentration (ppb),682.7
1577,CH4 concentration (ppb),681.3
1578,CH4 concentration (ppb),680.1
1579,CH4 concentration (ppb),679.0
1580,CH4 concentration (ppb),678.1
1581,CH4 concentration (ppb),677.2
1582,CH4 concentration (ppb),676.4
1583,CH4 concentration (ppb),675.7
1584,CH4 concentration (ppb),675.0
1585,CH4 concentration (ppb),674.3
1586,CH4 concentration (ppb),673.5
1587,CH4 concentration (ppb),672.7
1588,CH4 concentration (ppb),671.8
1589,CH4 concentration (ppb),670.8
1590,CH4 concentration (ppb),669.7
1591,CH4 concentration (ppb),668.5
1592,CH4 concentration (ppb),667.4
1593,CH4 concentration (ppb),666.5
1594,CH4 concentration (ppb),665.7
1595,CH4 concentration (ppb),665.2
1596,CH4 concentration (ppb),664.8
1597,CH4 concentration (ppb),664.6
1598,CH4 concentration (ppb),664.6
1599,CH4 concentration (ppb),664.7
1600,CH4 concentration (ppb),665.1
1601,CH4 concentration (ppb),665.6
1602,CH4 concentration (ppb),666.3
1603,CH4 concentration (ppb),667.1
1604,CH4 concentration (ppb),668.2
1605,CH4 concentration (ppb),669.4
1606,CH4 concentration (ppb),670.7
1607,CH4 concentration (ppb),672.2
1608,CH4 concentration (ppb),673.6
1609,CH4 concentration (ppb),675.0
1610,CH4 concentration (ppb),676.3
1611,CH4 concentration (ppb),677.4
1612,CH4 concentration (ppb),678.3
1613,CH4 concentration (ppb),679.0
1614,CH4 concentration (ppb),679.5
1615,CH4 concentration (ppb),679.8
1616,CH4 concentration (ppb),679.9
1617,CH4 concentration (ppb),680.0
1618,CH4 concentration (ppb),680.0
1619,CH4 concentration (ppb),680.0
1620,CH4 concentration (ppb),680.0
1621,CH4 concentration (ppb),680.0
1622,CH4 concentration (ppb),680.0
1623,CH4 concentration (ppb),680.2
1624,CH4 concentration (ppb),680.5
1625,CH4 concentration (ppb),680.9
1626,CH4 concentration (ppb),681.4
1627,CH4 concentration (ppb),682.1
1628,CH4 concentration (ppb),682.8
1629,CH4 concentration (ppb),683.5
1630,CH4 concentration (ppb),684.2
1631,CH4 concentration (ppb),684.9
1632,CH4 concentration (ppb),685.6
1633,CH4 concentration (ppb),686.2
1634,CH4 concentration (ppb),686.6
1635,CH4 concentration (ppb),687.0
1636,CH4 concentration (ppb),687.3
1637,CH4 concentration (ppb),687.4
1638,CH4 concentration (ppb),687.4
1639,CH4 concentration (ppb),687.1
1640,CH4 concentration (ppb),686.7
1641,CH4 concentration (ppb),686.1
1642,CH4 concentration (ppb),685.3
1643,CH4 concentration (ppb),684.2
1644,CH4 concentration (ppb),683.1
1645,CH4 concentration (ppb),681.8
1646,CH4 concentration (ppb),680.5
1647,CH4 concentration (ppb),679.2
1648,CH4 concentration (ppb),677.9
1649,CH4 concentration (ppb),676.7
1650,CH4 concentration (ppb),675.7
1651,CH4 concentration (ppb),674.9
1652,CH4 concentration (ppb),674.2
1653,CH4 concentration (ppb),673.7
1654,CH4 concentration (ppb),673.4
1655,CH4 concentration (ppb),673.3
1656,CH4 concentration (ppb),673.3
1657,CH4 concentration (ppb),673.5
1658,CH4 concentration (ppb),673.7
1659,CH4 concentration (ppb),674.1
1660,CH4 concentration (ppb),674.7
1661,CH4 concentration (ppb),675.3
1662,CH4 concentration (ppb),676.0
1663,CH4 concentration (ppb),676.8
1664,CH4 concentration (ppb),677.6
1665,CH4 concentration (ppb),678.6
1666,CH4 concentration (ppb),679.5
1667,CH4 concentration (ppb),680.6
1668,CH4 concentration (ppb),681.6
1669,CH4 concentration (ppb),682.7
1670,CH4 concentration (ppb),683.8
1671,CH4 concentration (ppb),684.8
1672,CH4 concentration (ppb),685.9
1673,CH4 concentration (ppb),686.9
1674,CH4 concentration (ppb),687.9
1675,CH4 concentration (ppb),688.7
1676,CH4 concentration (ppb),689.5
1677,CH4 concentration (ppb),690.3
1678,CH4 concentration (ppb),690.8
1679,CH4 concentration (ppb),691.3
1680,CH4 concentration (ppb),691.6
1681,CH4 concentration (ppb),691.8
1682,CH4 concentration (ppb),691.8
1683,CH4 concentration (ppb),691.5
1684,CH4 concentration (ppb),691.1
1685,CH4 concentration (ppb),690.5
1686,CH4 concentration (ppb),689.8
1687,CH4 concentration (ppb),688.8
1688,CH4 concentration (ppb),687.7
1689,CH4 concentration (ppb),686.4
1690,CH4 concentration (ppb),685.0
1691,CH4 concentration (ppb),683.5
1692,CH4 concentration (ppb),681.9
1693,CH4 concentration (ppb),680.2
1694,CH4 concentration (ppb),678.5
1695,CH4 concentration (ppb),676.8
1696,CH4 concentration (ppb),675.2
1697,CH4 concentration (ppb),673.6
1698,CH4 concentration (ppb),672.0
1699,CH4 concentration (ppb),670.6
1700,CH4 concentration (ppb),669.2
1701,CH4 concentration (ppb),667.9
1702,CH4 concentration (ppb),666.7
1703,CH4 concentration (ppb),665.6
1704,CH4 concentration (ppb),664.6
1705,CH4 concentration (ppb),663.7
1706,CH4 concentration (ppb),662.9
1707,CH4 concentration (ppb),662.3
1708,CH4 concentration (ppb),661.7
1709,CH4 concentration (ppb),661.3
1710,CH4 concentration (ppb),661.0
1711,CH4 concentration (ppb),660.9
1712,CH4 concentration (ppb),660.9
1713,CH4 concentration (ppb),661.1
1714,CH4 concentration (ppb),661.4
1715,CH4 concentration (ppb),661.9
1716,CH4 concentration (ppb),662.5
1717,CH4 concentration (ppb),663.4
1718,CH4 concentration (ppb),664.4
1719,CH4 concentration (ppb),665.6
1720,CH4 concentration (ppb),667.0
1721,CH4 concentration (ppb),668.6
1722,CH4 concentration (ppb),670.4
1723,CH4 concentration (ppb),672.4
1724,CH4 concentration (ppb),674.6
1725,CH4 concentration (ppb),677.0
1726,CH4 concentration (ppb),679.6
1727,CH4 concentration (ppb),682.3
1728,CH4 concentration (ppb),685.1
1729,CH4 concentration (ppb),687.9
1730,CH4 concentration (ppb),690.6
1731,CH4 concentration (ppb),693.3
1732,CH4 concentration (ppb),695.8
1733,CH4 concentration (ppb),698.2
1734,CH4 concentration (ppb),700.3
1735,CH4 concentration (ppb),702.2
1736,CH4 concentration (ppb),703.7
1737,CH4 concentration (ppb),704.9
1738,CH4 concentration (ppb),705.7
1739,CH4 concentration (ppb),706.3
1740,CH4 concentration (ppb),706.5
1741,CH4 concentration (ppb),706.4
1742,CH4 concentration (ppb),706.0
1743,CH4 concentration (ppb),705.3
1744,CH4 concentration (ppb),704.3
1745,CH4 concentration (ppb),703.1
1746,CH4 concentration (ppb),701.7
1747,CH4 concentration (ppb),700.2
1748,CH4 concentration (ppb),698.9
1749,CH4 concentration (ppb),697.7
1750,CH4 concentration (ppb),696.8
1751,CH4 concentration (ppb),696.4
1752,CH4 concentration (ppb),696.2
1753,CH4 concentration (ppb),696.3
1754,CH4 concentration (ppb),696.5
1755,CH4 concentration (ppb),696.8
1756,CH4 concentration (ppb),697.2
1757,CH4 concentration (ppb),697.7
1758,CH4 concentration (ppb),698.4
1759,CH4 concentration (ppb),699.1
1760,CH4 concentration (ppb),700.0
1761,CH4 concentration (ppb),701.0
1762,CH4 concentration (ppb),702.1
1763,CH4 concentration (ppb),703.3
1764,CH4 concentration (ppb),704.7
1765,CH4 concentration (ppb),706.3
1766,CH4 concentration (ppb),707.8
1767,CH4 concentration (ppb),709.5
1768,CH4 concentration (ppb),711.1
1769,CH4 concentration (ppb),712.6
1770,CH4 concentration (ppb),714.1
1771,CH4 concentration (ppb),715.4
1772,CH4 concentration (ppb),716.6
1773,CH4 concentration (ppb),717.5
1774,CH4 concentration (ppb),718.2
1775,CH4 concentration (ppb),718.6
1776,CH4 concentration (ppb),718.7
1777,CH4 concentration (ppb),718.6
1778,CH4 concentration (ppb),718.4
1779,CH4 concentration (ppb),718.2
1780,CH4 concentration (ppb),718.2
1781,CH4 concentration (ppb),718.3
1782,CH4 concentration (ppb),718.7
1783,CH4 concentration (ppb),719.1
1784,CH4 concentration (ppb),719.6
1785,CH4 concentration (ppb),719.8
1786,CH4 concentration (ppb),719.8
1787,CH4 concentration (ppb),719.6
1788,CH4 concentration (ppb),719.2
1789,CH4 concentration (ppb),718.8
1790,CH4 concentration (ppb),718.3
1791,CH4 concentration (ppb),717.9
1792,CH4 concentration (ppb),717.7
1793,CH4 concentration (ppb),717.6
1794,CH4 concentration (ppb),717.9
1795,CH4 concentration (ppb),718.4
1796,CH4 concentration (ppb),719.4
1797,CH4 concentration (ppb),720.7
1798,CH4 concentration (ppb),722.6
1799,CH4 concentration (ppb),724.6
1800,CH4 concentration (ppb),726.6
1801,CH4 concentration (ppb),728.5
1802,CH4 concentration (ppb),730.0
1803,CH4 concentration (ppb),731.3
1804,CH4 concentration (ppb),732.3
1805,CH4 concentration (ppb),733.2
1806,CH4 concentration (ppb),733.8
1807,CH4 concentration (ppb),734.4
1808,CH4 concentration (ppb),734.8
1809,CH4 concentration (ppb),735.0
1810,CH4 concentration (ppb),735.3
1811,CH4 concentration (ppb),735.4
1812,CH4 concentration (ppb),735.6
1813,CH4 concentration (ppb),735.8
1814,CH4 concentration (ppb),735.9
1815,CH4 concentration (ppb),736.2
1816,CH4 concentration (ppb),736.6
1817,CH4 concentration (ppb),737.0
1818,CH4 concentration (ppb),737.6
1819,CH4 concentration (ppb),738.4
1820,CH4 concentration (ppb),739.5
1821,CH4 concentration (ppb),740.8
1822,CH4 concentration (ppb),742.3
1823,CH4 concentration (ppb),744.1
1824,CH4 concentration (ppb),746.0
1825,CH4 concentration (ppb),747.9
1826,CH4 concentration (ppb),749.7
1827,CH4 concentration (ppb),751.4
1828,CH4 concentration (ppb),752.7
1829,CH4 concentration (ppb),753.8
1830,CH4 concentration (ppb),754.7
1831,CH4 concentration (ppb),755.4
1832,CH4 concentration (ppb),756.0
1833,CH4 concentration (ppb),756.7
1834,CH4 concentration (ppb),757.6
1835,CH4 concentration (ppb),758.8
1836,CH4 concentration (ppb),760.1
1837,CH4 concentration (ppb),761.5
1838,CH4 concentration (ppb),762.9
1839,CH4 concentration (ppb),764.4
1840,CH4 concentration (ppb),765.9
1841,CH4 concentration (ppb),767.5
1842,CH4 concentration (ppb),769.2
1843,CH4 concentration (ppb),771.1
1844,CH4 concentration (ppb),773.0
1845,CH4 concentration (ppb),774.9
1846,CH4 concentration (ppb),776.7
1847,CH4 concentration (ppb),778.4
1848,CH4 concentration (ppb),780.2
1849,CH4 concentration (ppb),782.2
1850,CH4 concentration (ppb),783.8
1851,CH4 concentration (ppb),784.3
1852,CH4 concentration (ppb),784.0
1853,CH4 concentration (ppb),783.3
1854,CH4 concentration (ppb),782.6
1855,CH4 concentration (ppb),782.1
1856,CH4 concentration (ppb),781.9
1857,CH4 concentration (ppb),782.3
1858,CH4 concentration (ppb),783.1
1859,CH4 concentration (ppb),784.5
1860,CH4 concentration (ppb),786.2
1861,CH4 concentration (ppb),788.2
1862,CH4 concentration (ppb),790.5
1863,CH4 concentration (ppb),792.9
1864,CH4 concentration (ppb),795.5
1865,CH4 concentration (ppb),798.0
1866,CH4 concentration (ppb),800.1
1867,CH4 concentration (ppb),802.0
1868,CH4 concentration (ppb),803.8
1869,CH4 concentration (ppb),805.7
1870,CH4 concentration (ppb),807.6
1871,CH4 concentration (ppb),809.8
1872,CH4 concentration (ppb),812.1
1873,CH4 concentration (ppb),814.4
1874,CH4 concentration (ppb),816.6
1875,CH4 concentration (ppb),818.6
1876,CH4 concentration (ppb),820.3
1877,CH4 concentration (ppb),821.9
1878,CH4 concentration (ppb),823.3
1879,CH4 concentration (ppb),824.9
1880,CH4 concentration (ppb),826.5
1881,CH4 concentration (ppb),828.3
1882,CH4 concentration (ppb),830.2
1883,CH4 concentration (ppb),832.1
1884,CH4 concentration (ppb),834.0
1885,CH4 concentration (ppb),835.8
1886,CH4 concentration (ppb),837.3
1887,CH4 concentration (ppb),838.4
1888,CH4 concentration (ppb),839.4
1889,CH4 concentration (ppb),840.5
1890,CH4 concentration (ppb),841.7
1891,CH4 concentration (ppb),843.0
1892,CH4 concentration (ppb),844.5
1893,CH4 concentration (ppb),846.2
1894,CH4 concentration (ppb),848.4
1895,CH4 concentration (ppb),850.8
1896,CH4 concentration (ppb),853.2
1897,CH4 concentration (ppb),855.7
1898,CH4 concentration (ppb),858.6
1899,CH4 concentration (ppb),861.7
1900,CH4 concentration (ppb),865.0
1901,CH4 concentration (ppb),868.4
1902,CH4 concentration (ppb),872.1
1903,CH4 concentration (ppb),876.2
1904,CH4 concentration (ppb),880.6
1905,CH4 concentration (ppb),885.5
1906,CH4 concentration (ppb),890.8
1907,CH4 concentration (ppb),896.4
1908,CH4 concentration (ppb),902.3
1909,CH4 concentration (ppb),907.8
1910,CH4 concentration (ppb),912.5
1911,CH4 concentration (ppb),915.7
1912,CH4 concentration (ppb),918.1
1913,CH4 concentration (ppb),920.1
1914,CH4 concentration (ppb),922.6
1915,CH4 concentration (ppb),925.9
1916,CH4 concentration (ppb),930.4
1917,CH4 concentration (ppb),936.2
1918,CH4 concentration (ppb),942.9
1919,CH4 concentration (ppb),950.1
1920,CH4 concentration (ppb),957.3
1921,CH4 concentration (ppb),964.1
1922,CH4 concentration (ppb),970.6
1923,CH4 concentration (ppb),976.6
1924,CH4 concentration (ppb),982.2
1925,CH4 concentration (ppb),987.4
1926,CH4 concentration (ppb),992.1
1927,CH4 concentration (ppb),996.8
1928,CH4 concentration (ppb),1001.5
1929,CH4 concentration (ppb),1006.4
1930,CH4 concentration (ppb),1011.2
1931,CH4 concentration (ppb),1015.9
1932,CH4 concentration (ppb),1020.6
1933,CH4 concentration (ppb),1025.4
1934,CH4 concentration (ppb),1030.7
1935,CH4 concentration (ppb),1036.4
1936,CH4 concentration (ppb),1042.2
1937,CH4 concentration (ppb),1047.9
1938,CH4 concentration (ppb),1053.2
1939,CH4 concentration (ppb),1058.2
1940,CH4 concentration (ppb),1062.8
1941,CH4 concentration (ppb),1066.9
1942,CH4 concentration (ppb),1070.5
1943,CH4 concentration (ppb),1073.5
1944,CH4 concentration (ppb),1076.0
1945,CH4 concentration (ppb),1078.6
1946,CH4 concentration (ppb),1082.0
1947,CH4 concentration (ppb),1086.2
1948,CH4 concentration (ppb),1091.3
1949,CH4 concentration (ppb),1097.2
1950,CH4 concentration (ppb),1103.8
1951,CH4 concentration (ppb),1111.2
1952,CH4 concentration (ppb),1119.6
1953,CH4 concentration (ppb),1128.8
1954,CH4 concentration (ppb),1139.0
1955,CH4 concentration (ppb),1150.1
1956,CH4 concentration (ppb),1161.9
1957,CH4 concentration (ppb),1173.2
1958,CH4 concentration (ppb),1183.7
1959,CH4 concentration (ppb),1194.4
1960,CH4 concentration (ppb),1205.5
1961,CH4 concentration (ppb),1217.1
1962,CH4 concentration (ppb),1229.1
1963,CH4 concentration (ppb),1241.4
1964,CH4 concentration (ppb),1253.6
1965,CH4 concentration (ppb),1265.5
1966,CH4 concentration (ppb),1277.9
1967,CH4 concentration (ppb),1291.7
1968,CH4 concentration (ppb),1307.2
1969,CH4 concentration (ppb),1323.9
1970,CH4 concentration (ppb),1341.2
1971,CH4 concentration (ppb),1358.4
1972,CH4 concentration (ppb),1375.2
1973,CH4 concentration (ppb),1391.6
1974,CH4 concentration (ppb),1407.3
1975,CH4 concentration (ppb),1422.4
1976,CH4 concentration (ppb),1437.2
1977,CH4 concentration (ppb),1451.7
1978,CH4 concentration (ppb),1466.0
1979,CH4 concentration (ppb),1480.3
1980,CH4 concentration (ppb),1495.3
1981,CH4 concentration (ppb),1511.4
1982,CH4 concentration (ppb),1528.1
1983,CH4 concentration (ppb),1544.6
1984,CH4 concentration (ppb),1560.6
1985,CH4 concentration (ppb),1575.9
1986,CH4 concentration (ppb),1590.4
1987,CH4 concentration (ppb),1604.1
1988,CH4 concentration (ppb),1616.8
1989,CH4 concentration (ppb),1628.4
1990,CH4 concentration (ppb),1639.2
1991,CH4 concentration (ppb),1649.2
1992,CH4 concentration (ppb),1658.4
1993,CH4 concentration (ppb),1665.9
1994,CH4 concentration (ppb),1671.9
1995,CH4 concentration (ppb),1677.2
1996,CH4 concentration (ppb),1682.0
1997,CH4 concentration (ppb),1687.1
1998,CH4 concentration (ppb),1692.9
1999,CH4 concentration (ppb),1698.7
2000,CH4 concentration (ppb),1703.4
2001,CH4 concentration (ppb),1706.5
2002,CH4 concentration (ppb),1708.3
2003,CH4 concentration (ppb),1709.1
2004,CH4 concentration (ppb),1709.7
1,CO2 concentration (ppm),276.7
2,CO2 concentration (ppm),276.8
3,CO2 concentration (ppm),276.8
4,CO2 concentration (ppm),276.9
5,CO2 concentration (ppm),276.9
6,CO2 concentration (ppm),277.0
7,CO2 concentration (ppm),277.1
8,CO2 concentration (ppm),277.1
9,CO2 concentration (ppm),277.2
10,CO2 concentration (ppm),277.2
11,CO2 concentration (ppm),277.3
12,CO2 concentration (ppm),277.3
13,CO2 concentration (ppm),277.4
14,CO2 concentration (ppm),277.4
15,CO2 concentration (ppm),277.5
16,CO2 concentration (ppm),277.5
17,CO2 concentration (ppm),277.6
18,CO2 concentration (ppm),277.6
19,CO2 concentration (ppm),277.6
20,CO2 concentration (ppm),277.7
21,CO2 concentration (ppm),277.7
22,CO2 concentration (ppm),277.7
23,CO2 concentration (ppm),277.8
24,CO2 concentration (ppm),277.8
25,CO2 concentration (ppm),277.8
26,CO2 concentration (ppm),277.9
27,CO2 concentration (ppm),277.9
28,CO2 concentration (ppm),277.9
29,CO2 concentration (ppm),277.9
30,CO2 concentration (ppm),277.9
31,CO2 concentration (ppm),277.9
32,CO2 concentration (ppm),277.9
33,CO2 concentration (ppm),277.9
34,CO2 concentration (ppm),277.9
35,CO2 concentration (ppm),277.9
36,CO2 concentration (ppm),277.9
37,CO2 concentration (ppm),277.9
38,CO2 concentration (ppm),277.8
39,CO2 concentration (ppm),277.8
40,CO2 concentration (ppm),277.8
41,CO2 concentration (ppm),277.8
42,CO2 concentration (ppm),277.8
43,CO2 concentration (ppm),277.7
44,CO2 concentration (ppm),277.7
45,CO2 concentration (ppm),277.7
46,CO2 concentration (ppm),277.7
47,CO2 concentration (ppm),277.6
48,CO2 concentration (ppm),277.6
49,CO2 concentration (ppm),277.6
50,CO2 concentration (ppm),277.5
51,CO2 concentration (ppm),277.5
52,CO2 concentration (ppm),277.5
53,CO2 concentration (ppm),277.5
54,CO2 concentration (ppm),277.4
55,CO2 concentration (ppm),277.4
56,CO2 concentration (ppm),277.4
57,CO2 concentration (ppm),277.4
58,CO2 concentration (ppm),277.4
59,CO2 concentration (ppm),277.3
60,CO2 concentration (ppm),277.3
61,CO2 concentration (ppm),277.3
62,CO2 concentration (ppm),277.3
63,CO2 concentration (ppm),277.3
64,CO2 concentration (ppm),277.3
65,CO2 concentration (ppm),277.3
66,CO2 concentration (ppm),277.3
67,CO2 concentration (ppm),277.3
68,CO2 concentration (ppm),277.3
69,CO2 concentration (ppm),277.3
70,CO2 concentration (ppm),277.3
71,CO2 concentration (ppm),277.3
72,CO2 concentration (ppm),277.2
73,CO2 concentration (ppm),277.3
74,CO2 concentration (ppm),277.3
75,CO2 concentration (ppm),277.3
76,CO2 concentration (ppm),277.3
77,CO2 concentration (ppm),277.3
78,CO2 concentration (ppm),277.3
79,CO2 concentration (ppm),277.3
80,CO2 concentration (ppm),277.3
81,CO2 concentration (ppm),277.3
82,CO2 concentration (ppm),277.3
83,CO2 concentration (ppm),277.3
84,CO2 concentration (ppm),277.3
85,CO2 concentration (ppm),277.3
86,CO2 concentration (ppm),277.3
87,CO2 concentration (ppm),277.3
88,CO2 concentration (ppm),277.3
89,CO2 concentration (ppm),277.3
90,CO2 concentration (ppm),277.4
91,CO2 concentration (ppm),277.4
92,CO2 concentration (ppm),277.4
93,CO2 concentration (ppm),277.4
94,CO2 concentration (ppm),277.4
95,CO2 concentration (ppm),277.4
96,CO2 concentration (ppm),277.4
97,CO2 concentration (ppm),277.4
98,CO2 concentration (ppm),277.4
99,CO2 concentration (ppm),277.4
100,CO2 concentration (ppm),277.5
101,CO2 concentration (ppm),277.5
102,CO2 concentration (ppm),277.5
103,CO2 concentration (ppm),277.5
104,CO2 concentration (ppm),277.5
105,CO2 concentration (ppm),277.5
106,CO2 concentration (ppm),277.5
107,CO2 concentration (ppm),277.5
108,CO2 concentration (ppm),277.5
109,CO2 concentration (ppm),277.5
110,CO2 concentration (ppm),277.5
111,CO2 concentration (ppm),277.5
112,CO2 concentration (ppm),277.6
113,CO2 concentration (ppm),277.6
114,CO2 concentration (ppm),277.6
115,CO2 concentration (ppm),277.6
116,CO2 concentration (ppm),277.6
117,CO2 concentration (ppm),277.6
118,CO2 concentration (ppm),277.6
119,CO2 concentration (ppm),277.6
120,CO2 concentration (ppm),277.6
121,CO2 concentration (ppm),277.7
122,CO2 concentration (ppm),277.7
123,CO2 concentration (ppm),277.7
124,CO2 concentration (ppm),277.7
125,CO2 concentration (ppm),277.7
126,CO2 concentration (ppm),277.8
127,CO2 concentration (ppm),277.8
128,CO2 concentration (ppm),277.8
129,CO2 concentration (ppm),277.8
130,CO2 concentration (ppm),277.9
131,CO2 concentration (ppm),277.9
132,CO2 concentration (ppm),277.9
133,CO2 concentration (ppm),278.0
134,CO2 concentration (ppm),278.0
135,CO2 concentration (ppm),278.1
136,CO2 concentration (ppm),278.1
137,CO2 concentration (ppm),278.2
138,CO2 concentration (ppm),278.2
139,CO2 concentration (ppm),278.3
140,CO2 concentration (ppm),278.3
141,CO2 concentration (ppm),278.4
142,CO2 concentration (ppm),278.4
143,CO2 concentration (ppm),278.5
144,CO2 concentration (ppm),278.6
145,CO2 concentration (ppm),278.6
146,CO2 concentration (ppm),278.7
147,CO2 concentration (ppm),278.8
148,CO2 concentration (ppm),278.8
149,CO2 concentration (ppm),278.9
150,CO2 concentration (ppm),279.0
151,CO2 concentration (ppm),279.0
152,CO2 concentration (ppm),279.1
153,CO2 concentration (ppm),279.2
154,CO2 concentration (ppm),279.3
155,CO2 concentration (ppm),279.3
156,CO2 concentration (ppm),279.4
157,CO2 concentration (ppm),279.5
158,CO2 concentration (ppm),279.5
159,CO2 concentration (ppm),279.6
160,CO2 concentration (ppm),279.7
161,CO2 concentration (ppm),279.7
162,CO2 concentration (ppm),279.8
163,CO2 concentration (ppm),279.8
164,CO2 concentration (ppm),279.9
165,CO2 concentration (ppm),279.9
166,CO2 concentration (ppm),280.0
167,CO2 concentration (ppm),280.0
168,CO2 concentration (ppm),280.1
169,CO2 concentration (ppm),280.1
170,CO2 concentration (ppm),280.2
171,CO2 concentration (ppm),280.2
172,CO2 concentration (ppm),280.2
173,CO2 concentration (ppm),280.3
174,CO2 concentration (ppm),280.3
175,CO2 concentration (ppm),280.3
176,CO2 concentration (ppm),280.3
177,CO2 concentration (ppm),280.4
178,CO2 concentration (ppm),280.4
179,CO2 concentration (ppm),280.4
180,CO2 concentration (ppm),280.4
181,CO2 concentration (ppm),280.4
182,CO2 concentration (ppm),280.4
183,CO2 concentration (ppm),280.4
184,CO2 concentration (ppm),280.5
185,CO2 concentration (ppm),280.5
186,CO2 concentration (ppm),280.5
187,CO2 concentration (ppm),280.5
188,CO2 concentration (ppm),280.5
189,CO2 concentration (ppm),280.5
190,CO2 concentration (ppm),280.5
191,CO2 concentration (ppm),280.5
192,CO2 concentration (ppm),280.5
193,CO2 concentration (ppm),280.5
194,CO2 concentration (ppm),280.6
195,CO2 concentration (ppm),280.6
196,CO2 concentration (ppm),280.6
197,CO2 concentration (ppm),280.6
198,CO2 concentration (ppm),280.6
199,CO2 concentration (ppm),280.6
200,CO2 concentration (ppm),280.6
201,CO2 concentration (ppm),280.7
202,CO2 concentration (ppm),280.7
203,CO2 concentration (ppm),280.7
204,CO2 concentration (ppm),280.7
205,CO2 concentration (ppm),280.8
206,CO2 concentration (ppm),280.8
207,CO2 concentration (ppm),280.8
208,CO2 concentration (ppm),280.9
209,CO2 concentration (ppm),280.9
210,CO2 concentration (ppm),281.0
211,CO2 concentration (ppm),281.0
212,CO2 concentration (ppm),281.0
213,CO2 concentration (ppm),281.1
214,CO2 concentration (ppm),281.1
215,CO2 concentration (ppm),281.1
216,CO2 concentration (ppm),281.2
217,CO2 concentration (ppm),281.2
218,CO2 concentration (ppm),281.3
219,CO2 concentration (ppm),281.3
220,CO2 concentration (ppm),281.3
221,CO2 concentration (ppm),281.4
222,CO2 concentration (ppm),281.4
223,CO2 concentration (ppm),281.4
224,CO2 concentration (ppm),281.4
225,CO2 concentration (ppm),281.5
226,CO2 concentration (ppm),281.5
227,CO2 concentration (ppm),281.5
228,CO2 concentration (ppm),281.5
229,CO2 concentration (ppm),281.5
230,CO2 concentration (ppm),281.5
231,CO2 concentration (ppm),281.5
232,CO2 concentration (ppm),281.5
233,CO2 concentration (ppm),281.5
234,CO2 concentration (ppm),281.5
235,CO2 concentration (ppm),281.5
236,CO2 concentration (ppm),281.5
237,CO2 concentration (ppm),281.4
238,CO2 concentration (ppm),281.4
239,CO2 concentration (ppm),281.4
240,CO2 concentration (ppm),281.4
241,CO2 concentration (ppm),281.4
242,CO2 concentration (ppm),281.3
243,CO2 concentration (ppm),281.3
244,CO2 concentration (ppm),281.3
245,CO2 concentration (ppm),281.2
246,CO2 concentration (ppm),281.2
247,CO2 concentration (ppm),281.2
248,CO2 concentration (ppm),281.1
249,CO2 concentration (ppm),281.1
250,CO2 concentration (ppm),281.0
251,CO2 concentration (ppm),281.0
252,CO2 concentration (ppm),281.0
253,CO2 concentration (ppm),280.9
254,CO2 concentration (ppm),280.9
255,CO2 concentration (ppm),280.8
256,CO2 concentration (ppm),280.8
257,CO2 concentration (ppm),280.7
258,CO2 concentration (ppm),280.7
259,CO2 concentration (ppm),280.7
260,CO2 concentration (ppm),280.6
261,CO2 concentration (ppm),280.6
262,CO2 concentration (ppm),280.5
263,CO2 concentration (ppm),280.5
264,CO2 concentration (ppm),280.4
265,CO2 concentration (ppm),280.4
266,CO2 concentration (ppm),280.4
267,CO2 concentration (ppm),280.3
268,CO2 concentration (ppm),280.3
269,CO2 concentration (ppm),280.3
270,CO2 concentration (ppm),280.2
271,CO2 concentration (ppm),280.2
272,CO2 concentration (ppm),280.2
273,CO2 concentration (ppm),280.1
274,CO2 concentration (ppm),280.1
