country,year,population
Kenya,1823,2910000
Kiribati,1823,18100
Kuwait,1823,81300
Kyrgyz Republic,1823,545000
Lao,1823,484000
Latvia,1823,620000
Lebanon,1823,339000
Lesotho,1823,265000
Liberia,1823,315000
Libya,1823,238000
Liechtenstein,1823,5930
Lithuania,1823,814000
Luxembourg,1823,139000
Madagascar,1823,1760000
Malawi,1823,1210000
Malaysia,1823,305000
Maldives,1823,43100
Mali,1823,1410000
Malta,1823,136000
Marshall Islands,1823,6250
Mauritania,1823,372000
Mauritius,1823,89500
Mexico,1823,6520000
"Micronesia, Fed. Sts.",1823,16700
Moldova,1823,732000
Monaco,1823,8080
Mongolia,1823,622000
Montenegro,1823,133000
Morocco,1823,2700000
Mozambique,1823,2280000
Myanmar,1823,3550000
Namibia,1823,169000
Nauru,1823,1840
Nepal,1823,3930000
Netherlands,1823,2420000
New Zealand,1823,100000
Nicaragua,1823,195000
Niger,1823,873000
Nigeria,1823,12200000
North Korea,1823,4350000
North Macedonia,1823,402000
Norway,1823,1010000
Oman,1823,321000
Pakistan,1823,13800000
Palau,1823,3930
Palestine,1823,166000
Panama,1823,89300
Papua New Guinea,1823,756000
Paraguay,1823,157000
Peru,1823,1330000
Philippines,1823,2290000
Poland,1823,10700000
Portugal,1823,3350000
Qatar,1823,14100
Romania,1823,6530000
Russia,1823,32600000
Rwanda,1823,975000
Samoa,1823,47100
San Marino,1823,5620
Sao Tome and Principe,1823,23200
Saudi Arabia,1823,2110000
Senegal,1823,1000000
Serbia,1823,2130000
Seychelles,1823,12700
Sierra Leone,1823,793000
Singapore,1823,31900
Slovak Republic,1823,2160000
Slovenia,1823,482000
Solomon Islands,1823,58900
Somalia,1823,1040000
South Africa,1823,1660000
South Korea,1823,9410000
South Sudan,1823,1070000
Spain,1823,12400000
Sri Lanka,1823,1290000
St. Kitts and Nevis,1823,18100
St. Lucia,1823,24000
St. Vincent and the Grenadines,1823,26200
Sudan,1823,4170000
Suriname,1823,81200
Swaziland,1823,76200
Sweden,1823,2660000
Switzerland,1823,2020000
Syria,1823,1350000
Tajikistan,1823,480000
Tanzania,1823,3210000
Thailand,1823,4720000
Timor-Leste,1823,143000
Togo,1823,452000
Tonga,1823,18600
Trinidad and Tobago,1823,61800
Tunisia,1823,896000
Turkey,1823,10200000
Turkmenistan,1823,377000
Tuvalu,1823,2540
Uganda,1823,2170000
Ukraine,1823,11500000
United Arab Emirates,1823,40200
United Kingdom,1823,22100000
United States,1823,10900000
Uruguay,1823,60100
Uzbekistan,1823,1970000
Vanuatu,1823,28600
Venezuela,1823,765000
Vietnam,1823,6490000
Yemen,1823,2610000
Zambia,1823,1060000
Zimbabwe,1823,1030000
Afghanistan,1824,3340000
Albania,1824,445000
Algeria,1824,2710000
Andorra,1824,2730
Angola,1824,1660000
Antigua and Barbuda,1824,37000
Argentina,1824,572000
Armenia,1824,429000
Australia,1824,332000
Austria,1824,3440000
Azerbaijan,1824,913000
Bahamas,1824,27400
Bahrain,1824,64500
Bangladesh,1824,20300000
Barbados,1824,87500
Belarus,1824,2440000
Belgium,1824,3560000
Belize,1824,25600
Benin,1824,655000
Bhutan,1824,385000
Bolivia,1824,1130000
Bosnia and Herzegovina,1824,873000
Botswana,1824,110000
Brazil,1824,4800000
Brunei,1824,2510
Bulgaria,1824,2230000
Burkina Faso,1824,1690000
Burundi,1824,955000
Cambodia,1824,2110000
Cameroon,1824,1960000
Canada,1824,943000
Cape Verde,1824,58100
Central African Republic,1824,524000
Chad,1824,1590000
Chile,1824,844000
China,1824,392000000
Colombia,1824,1380000
Comoros,1824,56800
"Congo, Dem. Rep.",1824,5500000
"Congo, Rep.",1824,335000
Costa Rica,1824,68600
Cote d'Ivoire,1824,1080000
Croatia,1824,1270000
Cuba,1824,744000
Cyprus,1824,185000
Czech Republic,1824,5600000
Denmark,1824,1200000
Djibouti,1824,24700
Dominica,1824,20300
Dominican Republic,1824,95100
Ecuador,1824,534000
Egypt,1824,4250000
El Salvador,1824,261000
Equatorial Guinea,1824,83600
Eritrea,1824,242000
Estonia,1824,351000
Ethiopia,1824,12900000
Fiji,1824,136000
Finland,1824,1240000
France,1824,32100000
Gabon,1824,172000
Gambia,1824,104000
Georgia,1824,1110000
Germany,1824,26100000
Ghana,1824,2010000
Greece,1824,2400000
Grenada,1824,29900
Guatemala,1824,616000
Guinea,1824,990000
Guinea-Bissau,1824,217000
Guyana,1824,150000
Haiti,1824,749000
Holy See,1824,905
Honduras,1824,153000
Hungary,1824,4270000
Iceland,1824,60500
India,1824,212000000
Indonesia,1824,17700000
Iran,1824,6680000
Iraq,1824,1110000
Ireland,1824,7380000
Israel,1824,210000
Italy,1824,20700000
Jamaica,1824,396000
Japan,1824,31100000
Jordan,1824,227000
Kazakhstan,1824,2120000
Kenya,1824,2920000
Kiribati,1824,18200
Kuwait,1824,81300
Kyrgyz Republic,1824,550000
Lao,1824,488000
Latvia,1824,630000
Lebanon,1824,342000
Lesotho,1824,261000
Liberia,1824,316000
Libya,1824,239000
Liechtenstein,1824,5970
Lithuania,1824,826000
Luxembourg,1824,143000
Madagascar,1824,1790000
Malawi,1824,1230000
Malaysia,1824,312000
Maldives,1824,43400
Mali,1824,1420000
Malta,1824,137000
Marshall Islands,1824,6390
Mauritania,1824,369000
Mauritius,1824,90000
Mexico,1824,6500000
"Micronesia, Fed. Sts.",1824,16700
Moldova,1824,739000
Monaco,1824,8170
Mongolia,1824,623000
Montenegro,1824,135000
Morocco,1824,2710000
Mozambique,1824,2340000
Myanmar,1824,3560000
Namibia,1824,166000
Nauru,1824,1840
Nepal,1824,3940000
Netherlands,1824,2450000
New Zealand,1824,100000
Nicaragua,1824,198000
Niger,1824,876000
Nigeria,1824,12300000
North Korea,1824,4360000
North Macedonia,1824,406000
Norway,1824,1030000
Oman,1824,322000
Pakistan,1824,13800000
Palau,1824,3950
Palestine,1824,166000
Panama,1824,90000
Papua New Guinea,1824,756000
Paraguay,1824,161000
Peru,1824,1340000
Philippines,1824,2340000
Poland,1824,10700000
Portugal,1824,3370000
Qatar,1824,14100
Romania,1824,6580000
Russia,1824,32800000
Rwanda,1824,991000
Samoa,1824,47100
San Marino,1824,5660
Sao Tome and Principe,1824,23400
Saudi Arabia,1824,2110000
Senegal,1824,999000
Serbia,1824,2130000
Seychelles,1824,12700
Sierra Leone,1824,792000
Singapore,1824,32600
Slovak Republic,1824,2170000
Slovenia,1824,486000
Solomon Islands,1824,59500
Somalia,1824,1050000
South Africa,1824,1690000
South Korea,1824,9410000
South Sudan,1824,1080000
Spain,1824,12500000
Sri Lanka,1824,1320000
St. Kitts and Nevis,1824,18400
St. Lucia,1824,24000
St. Vincent and the Grenadines,1824,26300
Sudan,1824,4190000
Suriname,1824,81300
Swaziland,1824,75800
Sweden,1824,2690000
Switzerland,1824,2030000
Syria,1824,1360000
Tajikistan,1824,484000
Tanzania,1824,3270000
Thailand,1824,4740000
Timor-Leste,1824,145000
Togo,1824,454000
Tonga,1824,18600
Trinidad and Tobago,1824,62400
Tunisia,1824,904000
Turkey,1824,10200000
Turkmenistan,1824,381000
Tuvalu,1824,2550
Uganda,1824,2200000
Ukraine,1824,11600000
United Arab Emirates,1824,40200
United Kingdom,1824,22400000
United States,1824,11200000
Uruguay,1824,61900
Uzbekistan,1824,1990000
Vanuatu,1824,28900
Venezuela,1824,782000
Vietnam,1824,6470000
Yemen,1824,2610000
Zambia,1824,1070000
Zimbabwe,1824,1020000
Afghanistan,1825,3350000
Albania,1825,447000
Algeria,1825,2710000
Andorra,1825,2750
Angola,1825,1690000
Antigua and Barbuda,1825,37000
Argentina,1825,582000
Armenia,1825,433000
Australia,1825,332000
Austria,1825,3450000
Azerbaijan,1825,921000
Bahamas,1825,27500
Bahrain,1825,64500
Bangladesh,1825,20400000
Barbados,1825,89000
Belarus,1825,2470000
Belgium,1825,3590000
Belize,1825,25600
Benin,1825,660000
Bhutan,1825,383000
Bolivia,1825,1140000
Bosnia and Herzegovina,1825,878000
Botswana,1825,110000
Brazil,1825,4880000
Brunei,1825,2550
Bulgaria,1825,2240000
Burkina Faso,1825,1700000
Burundi,1825,969000
Cambodia,1825,2110000
Cameroon,1825,1990000
Canada,1825,978000
Cape Verde,1825,58700
Central African Republic,1825,536000
Chad,1825,1600000
Chile,1825,863000
China,1825,395000000
Colombia,1825,1430000
Comoros,1825,56900
"Congo, Dem. Rep.",1825,5580000
"Congo, Rep.",1825,341000
Costa Rica,1825,70100
Cote d'Ivoire,1825,1080000
Croatia,1825,1280000
Cuba,1825,783000
Cyprus,1825,185000
Czech Republic,1825,5620000
Denmark,1825,1210000
Djibouti,1825,25100
Dominica,1825,20400
Dominican Republic,1825,96700
Ecuador,1825,543000
Egypt,1825,4260000
El Salvador,1825,265000
Equatorial Guinea,1825,84500
Eritrea,1825,252000
Estonia,1825,355000
Ethiopia,1825,13100000
Fiji,1825,136000
Finland,1825,1260000
France,1825,32300000
Gabon,1825,176000
Gambia,1825,105000
Georgia,1825,1120000
Germany,1825,26400000
Ghana,1825,2010000
Greece,1825,2420000
Grenada,1825,30000
Guatemala,1825,621000
Guinea,1825,991000
Guinea-Bissau,1825,217000
Guyana,1825,146000
Haiti,1825,755000
Holy See,1825,905
Honduras,1825,158000
Hungary,1825,4300000
Iceland,1825,60300
India,1825,213000000
Indonesia,1825,17800000
Iran,1825,6710000
Iraq,1825,1120000
Ireland,1825,7460000
Israel,1825,210000
Italy,1825,20800000
Jamaica,1825,395000
Japan,1825,31200000
Jordan,1825,229000
Kazakhstan,1825,2140000
Kenya,1825,2940000
Kiribati,1825,18300
Kuwait,1825,81300
Kyrgyz Republic,1825,555000
Lao,1825,493000
Latvia,1825,641000
Lebanon,1825,344000
Lesotho,1825,257000
Liberia,1825,316000
Libya,1825,240000
Liechtenstein,1825,6010
Lithuania,1825,838000
Luxembourg,1825,147000
Madagascar,1825,1810000
Malawi,1825,1260000
Malaysia,1825,318000
Maldives,1825,43600
Mali,1825,1420000
Malta,1825,138000
Marshall Islands,1825,6540
Mauritania,1825,365000
Mauritius,1825,90500
Mexico,1825,6480000
"Micronesia, Fed. Sts.",1825,16800
Moldova,1825,746000
Monaco,1825,8270
Mongolia,1825,624000
Montenegro,1825,137000
Morocco,1825,2710000
Mozambique,1825,2400000
Myanmar,1825,3570000
Namibia,1825,164000
Nauru,1825,1840
Nepal,1825,3960000
Netherlands,1825,2480000
New Zealand,1825,100000
Nicaragua,1825,201000
Niger,1825,879000
Nigeria,1825,12300000
North Korea,1825,4360000
North Macedonia,1825,409000
Norway,1825,1040000
Oman,1825,323000
Pakistan,1825,13900000
Palau,1825,3970
Palestine,1825,166000
Panama,1825,90600
Papua New Guinea,1825,756000
Paraguay,1825,166000
Peru,1825,1350000
Philippines,1825,2380000
Poland,1825,10800000
Portugal,1825,3390000
Qatar,1825,14100
Romania,1825,6630000
Russia,1825,33000000
Rwanda,1825,1010000
Samoa,1825,47100
San Marino,1825,5710
Sao Tome and Principe,1825,23500
Saudi Arabia,1825,2110000
Senegal,1825,996000
Serbia,1825,2130000
Seychelles,1825,12700
Sierra Leone,1825,792000
Singapore,1825,33300
Slovak Republic,1825,2180000
Slovenia,1825,491000
Solomon Islands,1825,60200
Somalia,1825,1070000
South Africa,1825,1730000
South Korea,1825,9420000
South Sudan,1825,1080000
Spain,1825,12600000
Sri Lanka,1825,1340000
St. Kitts and Nevis,1825,18700
St. Lucia,1825,24000
St. Vincent and the Grenadines,1825,26400
Sudan,1825,4200000
Suriname,1825,81500
Swaziland,1825,75400
Sweden,1825,2720000
Switzerland,1825,2040000
Syria,1825,1360000
Tajikistan,1825,488000
Tanzania,1825,3340000
Thailand,1825,4750000
Timor-Leste,1825,147000
Togo,1825,456000
Tonga,1825,18600
Trinidad and Tobago,1825,63000
Tunisia,1825,911000
Turkey,1825,10200000
Turkmenistan,1825,384000
Tuvalu,1825,2560
Uganda,1825,2230000
Ukraine,1825,11700000
United Arab Emirates,1825,40200
United Kingdom,1825,22600000
United States,1825,11500000
Uruguay,1825,63700
Uzbekistan,1825,2010000
Vanuatu,1825,29200
Venezuela,1825,798000
Vietnam,1825,6460000
Yemen,1825,2620000
Zambia,1825,1090000
Zimbabwe,1825,1000000
Afghanistan,1826,3370000
Albania,1826,449000
Algeria,1826,2720000
Andorra,1826,2770
Angola,1826,1710000
Antigua and Barbuda,1826,37000
Argentina,1826,592000
Armenia,1826,437000
Australia,1826,332000
Austria,1826,3470000
Azerbaijan,1826,930000
Bahamas,1826,27500
Bahrain,1826,64500
Bangladesh,1826,20500000
Barbados,1826,90500
Belarus,1826,2490000
Belgium,1826,3620000
Belize,1826,25600
Benin,1826,665000
Bhutan,1826,381000
Bolivia,1826,1150000
Bosnia and Herzegovina,1826,884000
Botswana,1826,110000
Brazil,1826,4960000
Brunei,1826,2590
Bulgaria,1826,2250000
Burkina Faso,1826,1700000
Burundi,1826,984000
Cambodia,1826,2120000
Cameroon,1826,2010000
Canada,1826,1010000
Cape Verde,1826,59400
Central African Republic,1826,548000
Chad,1826,1610000
Chile,1826,883000
China,1826,398000000
Colombia,1826,1480000
Comoros,1826,57100
"Congo, Dem. Rep.",1826,5670000
"Congo, Rep.",1826,346000
Costa Rica,1826,71600
Cote d'Ivoire,1826,1080000
Croatia,1826,1290000
Cuba,1826,824000
Cyprus,1826,185000
Czech Republic,1826,5700000
Denmark,1826,1220000
Djibouti,1826,25600
Dominica,1826,20500
Dominican Republic,1826,98300
Ecuador,1826,552000
Egypt,1826,4280000
El Salvador,1826,268000
Equatorial Guinea,1826,85300
Eritrea,1826,263000
Estonia,1826,359000
Ethiopia,1826,13200000
Fiji,1826,137000
Finland,1826,1280000
France,1826,32500000
Gabon,1826,180000
Gambia,1826,105000
Georgia,1826,1130000
Germany,1826,26700000
Ghana,1826,2010000
Greece,1826,2440000
Grenada,1826,30100
Guatemala,1826,626000
Guinea,1826,993000
Guinea-Bissau,1826,217000
Guyana,1826,142000
Haiti,1826,762000
Holy See,1826,905
Honduras,1826,164000
Hungary,1826,4330000
Iceland,1826,60100
India,1826,214000000
Indonesia,1826,17900000
Iran,1826,6740000
Iraq,1826,1120000
Ireland,1826,7530000
Israel,1826,210000
Italy,1826,21000000
Jamaica,1826,394000
Japan,1826,31200000
Jordan,1826,232000
Kazakhstan,1826,2160000
Kenya,1826,2950000
Kiribati,1826,18400
Kuwait,1826,81300
Kyrgyz Republic,1826,560000
Lao,1826,498000
Latvia,1826,651000
Lebanon,1826,347000
Lesotho,1826,253000
Liberia,1826,317000
Libya,1826,241000
Liechtenstein,1826,6060
Lithuania,1826,850000
Luxembourg,1826,151000
Madagascar,1826,1840000
Malawi,1826,1290000
Malaysia,1826,325000
Maldives,1826,43900
Mali,1826,1420000
Malta,1826,139000
Marshall Islands,1826,6690
Mauritania,1826,362000
Mauritius,1826,91000
Mexico,1826,6460000
"Micronesia, Fed. Sts.",1826,16900
Moldova,1826,753000
Monaco,1826,8370
Mongolia,1826,625000
Montenegro,1826,139000
Morocco,1826,2720000
Mozambique,1826,2470000
Myanmar,1826,3590000
Namibia,1826,162000
Nauru,1826,1840
Nepal,1826,3970000
Netherlands,1826,2510000
New Zealand,1826,100000
Nicaragua,1826,205000
Niger,1826,883000
Nigeria,1826,12400000
North Korea,1826,4360000
North Macedonia,1826,413000
Norway,1826,1060000
Oman,1826,324000
Pakistan,1826,13900000
Palau,1826,3990
Palestine,1826,166000
Panama,1826,91300
Papua New Guinea,1826,757000
Paraguay,1826,171000
Peru,1826,1350000
Philippines,1826,2420000
Poland,1826,10900000
Portugal,1826,3410000
Qatar,1826,14100
Romania,1826,6680000
Russia,1826,33300000
Rwanda,1826,1020000
Samoa,1826,47100
San Marino,1826,5750
Sao Tome and Principe,1826,23700
Saudi Arabia,1826,2120000
Senegal,1826,994000
Serbia,1826,2120000
Seychelles,1826,12800
Sierra Leone,1826,791000
Singapore,1826,34000
Slovak Republic,1826,2190000
Slovenia,1826,495000
Solomon Islands,1826,60800
Somalia,1826,1080000
South Africa,1826,1770000
South Korea,1826,9420000
South Sudan,1826,1090000
Spain,1826,12700000
Sri Lanka,1826,1370000
St. Kitts and Nevis,1826,19100
St. Lucia,1826,24000
St. Vincent and the Grenadines,1826,26600
Sudan,1826,4220000
Suriname,1826,81600
Swaziland,1826,75000
Sweden,1826,2750000
Switzerland,1826,2050000
Syria,1826,1360000
Tajikistan,1826,493000
Tanzania,1826,3400000
Thailand,1826,4770000
Timor-Leste,1826,149000
Togo,1826,458000
Tonga,1826,18600
Trinidad and Tobago,1826,63600
Tunisia,1826,918000
Turkey,1826,10300000
Turkmenistan,1826,388000
Tuvalu,1826,2570
Uganda,1826,2250000
Ukraine,1826,11800000
United Arab Emirates,1826,40200
United Kingdom,1826,22900000
United States,1826,11800000
Uruguay,1826,65600
Uzbekistan,1826,2030000
Vanuatu,1826,29500
Venezuela,1826,815000
Vietnam,1826,6440000
Yemen,1826,2620000
Zambia,1826,1110000
Zimbabwe,1826,985000
Afghanistan,1827,3380000
Albania,1827,451000
Algeria,1827,2720000
Andorra,1827,2790
Angola,1827,1740000
Antigua and Barbuda,1827,37000
Argentina,1827,602000
Armenia,1827,441000
Australia,1827,331000
Austria,1827,3490000
Azerbaijan,1827,938000
Bahamas,1827,27500
Bahrain,1827,64500
Bangladesh,1827,20600000
Barbados,1827,92100
Belarus,1827,2510000
Belgium,1827,3650000
Belize,1827,25600
Benin,1827,670000
Bhutan,1827,379000
Bolivia,1827,1160000
Bosnia and Herzegovina,1827,889000
Botswana,1827,109000
Brazil,1827,5030000
Brunei,1827,2640
Bulgaria,1827,2260000
Burkina Faso,1827,1710000
Burundi,1827,999000
Cambodia,1827,2120000
Cameroon,1827,2040000
Canada,1827,1050000
Cape Verde,1827,60000
Central African Republic,1827,560000
Chad,1827,1610000
Chile,1827,903000
China,1827,400000000
Colombia,1827,1530000
Comoros,1827,57200
"Congo, Dem. Rep.",1827,5760000
"Congo, Rep.",1827,352000
Costa Rica,1827,73200
Cote d'Ivoire,1827,1080000
Croatia,1827,1310000
Cuba,1827,867000
Cyprus,1827,185000
Czech Republic,1827,5770000
Denmark,1827,1240000
Djibouti,1827,26100
Dominica,1827,20600
Dominican Republic,1827,99900
Ecuador,1827,561000
Egypt,1827,4290000
El Salvador,1827,272000
Equatorial Guinea,1827,86200
Eritrea,1827,274000
Estonia,1827,364000
Ethiopia,1827,13400000
Fiji,1827,137000
Finland,1827,1300000
France,1827,32700000
Gabon,1827,183000
Gambia,1827,105000
Georgia,1827,1140000
Germany,1827,27100000
Ghana,1827,2010000
Greece,1827,2470000
Grenada,1827,30200
Guatemala,1827,632000
Guinea,1827,994000
Guinea-Bissau,1827,216000
Guyana,1827,138000
Haiti,1827,768000
Holy See,1827,905
Honduras,1827,169000
Hungary,1827,4360000
Iceland,1827,59800
India,1827,215000000
Indonesia,1827,18000000
Iran,1827,6770000
Iraq,1827,1130000
Ireland,1827,7600000
Israel,1827,210000
Italy,1827,21100000
Jamaica,1827,392000
Japan,1827,31200000
Jordan,1827,234000
Kazakhstan,1827,2180000
Kenya,1827,2970000
Kiribati,1827,18500
Kuwait,1827,81300
Kyrgyz Republic,1827,565000
Lao,1827,502000
Latvia,1827,662000
Lebanon,1827,349000
Lesotho,1827,249000
Liberia,1827,317000
Libya,1827,242000
Liechtenstein,1827,6100
Lithuania,1827,863000
Luxembourg,1827,156000
Madagascar,1827,1870000
Malawi,1827,1320000
Malaysia,1827,331000
Maldives,1827,44200
Mali,1827,1430000
Malta,1827,140000
Marshall Islands,1827,6850
Mauritania,1827,358000
Mauritius,1827,91500
Mexico,1827,6440000
"Micronesia, Fed. Sts.",1827,17000
Moldova,1827,760000
Monaco,1827,8480
Mongolia,1827,626000
Montenegro,1827,141000
Morocco,1827,2730000
Mozambique,1827,2540000
Myanmar,1827,3600000
Namibia,1827,160000
Nauru,1827,1840
Nepal,1827,3990000
Netherlands,1827,2540000
New Zealand,1827,100000
Nicaragua,1827,208000
Niger,1827,886000
Nigeria,1827,12400000
North Korea,1827,4370000
North Macedonia,1827,417000
Norway,1827,1080000
Oman,1827,324000
Pakistan,1827,14000000
Palau,1827,4010
Palestine,1827,166000
Panama,1827,91900
Papua New Guinea,1827,757000
Paraguay,1827,176000
Peru,1827,1360000
Philippines,1827,2460000
Poland,1827,11000000
Portugal,1827,3430000
Qatar,1827,14100
Romania,1827,6730000
Russia,1827,33500000
Rwanda,1827,1040000
Samoa,1827,47100
San Marino,1827,5800
Sao Tome and Principe,1827,23900
Saudi Arabia,1827,2120000
Senegal,1827,991000
Serbia,1827,2120000
Seychelles,1827,12800
Sierra Leone,1827,791000
Singapore,1827,34700
Slovak Republic,1827,2200000
Slovenia,1827,499000
Solomon Islands,1827,61500
Somalia,1827,1100000
South Africa,1827,1810000
South Korea,1827,9430000
South Sudan,1827,1090000
Spain,1827,12800000
Sri Lanka,1827,1400000
St. Kitts and Nevis,1827,19400
St. Lucia,1827,24000
St. Vincent and the Grenadines,1827,26700
Sudan,1827,4240000
Suriname,1827,81800
Swaziland,1827,74600
Sweden,1827,2780000
Switzerland,1827,2070000
Syria,1827,1370000
Tajikistan,1827,497000
Tanzania,1827,3470000
Thailand,1827,4790000
Timor-Leste,1827,151000
Togo,1827,459000
Tonga,1827,18600
Trinidad and Tobago,1827,64200
Tunisia,1827,926000
Turkey,1827,10300000
Turkmenistan,1827,391000
Tuvalu,1827,2580
Uganda,1827,2280000
Ukraine,1827,12000000
United Arab Emirates,1827,40200
United Kingdom,1827,23200000
United States,1827,12200000
Uruguay,1827,67500
Uzbekistan,1827,2050000
Vanuatu,1827,29800
Venezuela,1827,833000
Vietnam,1827,6420000
Yemen,1827,2630000
Zambia,1827,1120000
Zimbabwe,1827,969000
Afghanistan,1828,3400000
Albania,1828,453000
Algeria,1828,2730000
Andorra,1828,2810
Angola,1828,1760000
Antigua and Barbuda,1828,37000
Argentina,1828,613000
Armenia,1828,445000
Australia,1828,331000
Austria,1828,3500000
Azerbaijan,1828,947000
Bahamas,1828,27500
Bahrain,1828,64500
Bangladesh,1828,20700000
Barbados,1828,93600
Belarus,1828,2530000
Belgium,1828,3680000
Belize,1828,25600
Benin,1828,675000
Bhutan,1828,377000
Bolivia,1828,1170000
Bosnia and Herzegovina,1828,895000
Botswana,1828,109000
Brazil,1828,5110000
Brunei,1828,2690
Bulgaria,1828,2270000
Burkina Faso,1828,1710000
Burundi,1828,1010000
Cambodia,1828,2130000
Cameroon,1828,2070000
Canada,1828,1090000
Cape Verde,1828,60600
Central African Republic,1828,573000
Chad,1828,1620000
Chile,1828,923000
China,1828,403000000
Colombia,1828,1580000
Comoros,1828,57300
"Congo, Dem. Rep.",1828,5850000
"Congo, Rep.",1828,357000
Costa Rica,1828,74800
Cote d'Ivoire,1828,1070000
Croatia,1828,1320000
Cuba,1828,913000
Cyprus,1828,185000
Czech Republic,1828,5840000
Denmark,1828,1250000
Djibouti,1828,26600
Dominica,1828,20700
Dominican Republic,1828,102000
Ecuador,1828,570000
Egypt,1828,4300000
El Salvador,1828,275000
Equatorial Guinea,1828,87000
Eritrea,1828,285000
Estonia,1828,368000
Ethiopia,1828,13500000
Fiji,1828,137000
Finland,1828,1320000
France,1828,32900000
Gabon,1828,187000
Gambia,1828,106000
Georgia,1828,1150000
Germany,1828,27400000
Ghana,1828,2010000
Greece,1828,2490000
Grenada,1828,30300
Guatemala,1828,637000
Guinea,1828,996000
Guinea-Bissau,1828,216000
Guyana,1828,135000
Haiti,1828,775000
Holy See,1828,905
Honduras,1828,174000
Hungary,1828,4400000
Iceland,1828,59600
India,1828,216000000
Indonesia,1828,18200000
Iran,1828,6800000
Iraq,1828,1130000
Ireland,1828,7680000
Israel,1828,210000
Italy,1828,21200000
Jamaica,1828,391000
Japan,1828,31300000
Jordan,1828,237000
Kazakhstan,1828,2200000
Kenya,1828,2980000
Kiribati,1828,18600
Kuwait,1828,81300
Kyrgyz Republic,1828,571000
Lao,1828,507000
Latvia,1828,673000
Lebanon,1828,352000
Lesotho,1828,246000
Liberia,1828,318000
Libya,1828,243000
Liechtenstein,1828,6140
Lithuania,1828,876000
Luxembourg,1828,161000
Madagascar,1828,1900000
Malawi,1828,1340000
Malaysia,1828,338000
Maldives,1828,44400
Mali,1828,1430000
Malta,1828,141000
Marshall Islands,1828,7010
Mauritania,1828,355000
Mauritius,1828,92000
Mexico,1828,6420000
"Micronesia, Fed. Sts.",1828,17100
Moldova,1828,767000
Monaco,1828,8580
Mongolia,1828,627000
Montenegro,1828,143000
Morocco,1828,2730000
Mozambique,1828,2610000
Myanmar,1828,3610000
Namibia,1828,158000
Nauru,1828,1850
Nepal,1828,4000000
Netherlands,1828,2570000
New Zealand,1828,100000
Nicaragua,1828,211000
Niger,1828,890000
Nigeria,1828,12500000
North Korea,1828,4370000
North Macedonia,1828,420000
Norway,1828,1090000
Oman,1828,325000
Pakistan,1828,14000000
Palau,1828,4030
Palestine,1828,166000
Panama,1828,92600
Papua New Guinea,1828,757000
Paraguay,1828,182000
Peru,1828,1360000
Philippines,1828,2510000
Poland,1828,11100000
Portugal,1828,3450000
Qatar,1828,14100
Romania,1828,6780000
Russia,1828,33800000
Rwanda,1828,1060000
Samoa,1828,47100
San Marino,1828,5840
Sao Tome and Principe,1828,24100
Saudi Arabia,1828,2130000
Senegal,1828,988000
Serbia,1828,2110000
Seychelles,1828,12900
Sierra Leone,1828,790000
Singapore,1828,35400
Slovak Republic,1828,2210000
Slovenia,1828,504000
Solomon Islands,1828,62100
Somalia,1828,1110000
South Africa,1828,1850000
South Korea,1828,9430000
South Sudan,1828,1090000
Spain,1828,12900000
Sri Lanka,1828,1430000
St. Kitts and Nevis,1828,19700
St. Lucia,1828,24000
St. Vincent and the Grenadines,1828,26800
Sudan,1828,4250000
Suriname,1828,81900
Swaziland,1828,74300
Sweden,1828,2810000
Switzerland,1828,2080000
Syria,1828,1370000
Tajikistan,1828,502000
Tanzania,1828,3540000
Thailand,1828,4810000
Timor-Leste,1828,153000
Togo,1828,461000
Tonga,1828,18500
Trinidad and Tobago,1828,64800
Tunisia,1828,933000
Turkey,1828,10300000
Turkmenistan,1828,395000
Tuvalu,1828,2600
Uganda,1828,2300000
Ukraine,1828,12100000
United Arab Emirates,1828,40200
United Kingdom,1828,23500000
United States,1828,12500000
Uruguay,1828,69500
Uzbekistan,1828,2060000
Vanuatu,1828,30100
Venezuela,1828,851000
Vietnam,1828,6400000
Yemen,1828,2630000
Zambia,1828,1140000
Zimbabwe,1828,953000
Afghanistan,1829,3410000
Albania,1829,455000
Algeria,1829,2730000
Andorra,1829,2830
Angola,1829,1790000
Antigua and Barbuda,1829,37000
Argentina,1829,624000
Armenia,1829,449000
Australia,1829,332000
Austria,1829,3520000
Azerbaijan,1829,955000
Bahamas,1829,27500
Bahrain,1829,64500
Bangladesh,1829,20800000
Barbados,1829,95200
Belarus,1829,2560000
Belgium,1829,3720000
Belize,1829,25600
Benin,1829,679000
Bhutan,1829,375000
Bolivia,1829,1180000
Bosnia and Herzegovina,1829,900000
Botswana,1829,108000
Brazil,1829,5200000
Brunei,1829,2740
Bulgaria,1829,2280000
Burkina Faso,1829,1720000
Burundi,1829,1030000
Cambodia,1829,2130000
Cameroon,1829,2100000
Canada,1829,1130000
Cape Verde,1829,61300
Central African Republic,1829,585000
Chad,1829,1630000
Chile,1829,944000
China,1829,406000000
Colombia,1829,1630000
Comoros,1829,57400
"Congo, Dem. Rep.",1829,5940000
"Congo, Rep.",1829,363000
Costa Rica,1829,76300
Cote d'Ivoire,1829,1070000
Croatia,1829,1330000
Cuba,1829,950000
Cyprus,1829,185000
Czech Republic,1829,5920000
Denmark,1829,1260000
Djibouti,1829,27100
Dominica,1829,20800
