"",,,,"2013-2017",,
"% of total country area cultivated (%)","Japan","World | Asia",2016,11.83,"E",
"% of total country area cultivated (%)","Jordan","World | Asia",2016,3.627,"E",
"% of total country area cultivated (%)","Kazakhstan","World | Asia",2016,10.84,"E",
"% of total country area cultivated (%)","Kuwait","World | Asia",2016,0.7856,"E",
"% of total country area cultivated (%)","Kyrgyzstan","World | Asia",2016,6.822,"E",
"% of total country area cultivated (%)","Lao People's Democratic Republic","World | Asia",2016,7.154,"E",
"% of total country area cultivated (%)","Lebanon","World | Asia",2016,24.69,"E",
"% of total country area cultivated (%)","Malaysia","World | Asia",2016,25.25,"E",
"% of total country area cultivated (%)","Maldives","World | Asia",2016,23.0,"E",
"% of total country area cultivated (%)","Mongolia","World | Asia",2016,0.3658,"E",
"% of total country area cultivated (%)","Myanmar","World | Asia",2016,18.41,"E",
"% of total country area cultivated (%)","Nepal","World | Asia",2016,15.8,"E",
"% of total country area cultivated (%)","Oman","World | Asia",2016,0.2746,"E",
"% of total country area cultivated (%)","Pakistan","World | Asia",2016,40.0,"E",
"% of total country area cultivated (%)","Palestine","World | Asia",2016,24.4,"E",
"% of total country area cultivated (%)","Papua New Guinea","World | Asia",2016,2.161,"E",
"% of total country area cultivated (%)","Philippines","World | Asia",2016,36.47,"E",
"% of total country area cultivated (%)","Qatar","World | Asia",2016,1.464,"E",
"% of total country area cultivated (%)","Republic of Korea","World | Asia",2016,16.38,"E",
"% of total country area cultivated (%)","Saudi Arabia","World | Asia",2016,1.683,"E",
"% of total country area cultivated (%)","Singapore","World | Asia",2016,0.9179,"E",
"% of total country area cultivated (%)","Sri Lanka","World | Asia",2016,35.06,"E",
"% of total country area cultivated (%)","Syrian Arab Republic","World | Asia",2016,30.96,"E",
"% of total country area cultivated (%)","Tajikistan","World | Asia",2016,6.104,"E",
"% of total country area cultivated (%)","Thailand","World | Asia",2016,41.53,"E",
"% of total country area cultivated (%)","Timor-Leste","World | Asia",2016,15.47,"E",
"% of total country area cultivated (%)","Turkey","World | Asia",2016,30.19,"E",
"% of total country area cultivated (%)","Turkmenistan","World | Asia",2016,4.098,"E",
"% of total country area cultivated (%)","United Arab Emirates","World | Asia",2016,1.002,"E",
"% of total country area cultivated (%)","Uzbekistan","World | Asia",2016,10.66,"E",
"% of total country area cultivated (%)","Viet Nam","World | Asia",2016,34.83,"E",
"% of total country area cultivated (%)","Yemen","World | Asia",2016,2.928,"E",
"% of total country area cultivated (%)","Albania","World | Europe",2016,24.47,"E",
"% of total country area cultivated (%)","Andorra","World | Europe",2016,1.66,"E",
"% of total country area cultivated (%)","Austria","World | Europe",2016,16.82,"E",
"% of total country area cultivated (%)","Belarus","World | Europe",2016,27.91,"E",
"% of total country area cultivated (%)","Belgium","World | Europe",2016,28.58,"E",
"% of total country area cultivated (%)","Bosnia and Herzegovina","World | Europe",2016,22.07,"E",
"% of total country area cultivated (%)","Bulgaria","World | Europe",2016,32.77,"E",
"% of total country area cultivated (%)","Croatia","World | Europe",2016,16.68,"E",
"% of total country area cultivated (%)","Cyprus","World | Europe",2016,11.99,"E",
"% of total country area cultivated (%)","Czechia","World | Europe",2016,32.2,"E",
"% of total country area cultivated (%)","Denmark","World | Europe",2016,55.41,"E",
"% of total country area cultivated (%)","Estonia","World | Europe",2016,15.42,"E",
"% of total country area cultivated (%)","Faroe Islands","World | Europe",2016,2.149,"E",
"% of total country area cultivated (%)","Finland","World | Europe",2016,6.645,"E",
"% of total country area cultivated (%)","France","World | Europe",2016,35.24,"E",
"% of total country area cultivated (%)","Germany","World | Europe",2016,33.46,"E",
"% of total country area cultivated (%)","Greece","World | Europe",2016,24.66,"E",
"% of total country area cultivated (%)","Holy See","World | Europe",,,"",
"% of total country area cultivated (%)","Hungary","World | Europe",2016,48.37,"E",
"% of total country area cultivated (%)","Iceland","World | Europe",2016,1.175,"E",
"% of total country area cultivated (%)","Ireland","World | Europe",2016,6.36,"E",
"% of total country area cultivated (%)","Italy","World | Europe",2016,30.05,"E",
"% of total country area cultivated (%)","Latvia","World | Europe",2016,20.1,"E",
"% of total country area cultivated (%)","Liechtenstein","World | Europe",2016,13.5,"E",
"% of total country area cultivated (%)","Lithuania","World | Europe",2016,33.36,"E",
"% of total country area cultivated (%)","Luxembourg","World | Europe",2016,24.48,"E",
"% of total country area cultivated (%)","Malta","World | Europe",2016,32.44,"E",
"% of total country area cultivated (%)","Monaco","World | Europe",,,"",
"% of total country area cultivated (%)","Montenegro","World | Europe",2016,1.014,"E",
"% of total country area cultivated (%)","Netherlands","World | Europe",2016,25.66,"E",
"% of total country area cultivated (%)","North Macedonia","World | Europe",2016,17.74,"E",
"% of total country area cultivated (%)","Norway","World | Europe",2016,1.293,"E",
"% of total country area cultivated (%)","Poland","World | Europe",2016,35.82,"E",
"% of total country area cultivated (%)","Portugal","World | Europe",2016,18.84,"E",
"% of total country area cultivated (%)","Republic of Moldova","World | Europe",2016,61.92,"E",
"% of total country area cultivated (%)","Romania","World | Europe",2016,37.75,"E",
"% of total country area cultivated (%)","Russian Federation","World | Europe",2016,7.294,"E",
"% of total country area cultivated (%)","San Marino","World | Europe",2016,16.67,"E",
"% of total country area cultivated (%)","Serbia","World | Europe",2016,31.53,"E",
"% of total country area cultivated (%)","Slovakia","World | Europe",2016,27.84,"E",
"% of total country area cultivated (%)","Slovenia","World | Europe",2016,11.49,"E",
"% of total country area cultivated (%)","Spain","World | Europe",2016,33.67,"E",
"% of total country area cultivated (%)","Sweden","World | Europe",2016,5.766,"E",
"% of total country area cultivated (%)","Switzerland","World | Europe",2016,10.26,"E",
"% of total country area cultivated (%)","Ukraine","World | Europe",2016,55.79,"E",
"% of total country area cultivated (%)","United Kingdom","World | Europe",2016,24.93,"E",
"% of total country area cultivated (%)","Australia","World | Oceania",2016,5.991,"E",
"% of total country area cultivated (%)","Cook Islands","World | Oceania",2016,6.25,"E",
"% of total country area cultivated (%)","Fiji","World | Oceania",2016,13.68,"E",
"% of total country area cultivated (%)","Kiribati","World | Oceania",2016,41.98,"E",
"% of total country area cultivated (%)","Marshall Islands","World | Oceania",2016,47.22,"E",
"% of total country area cultivated (%)","Micronesia (Federated States of)","World | Oceania",2016,27.14,"E",
"% of total country area cultivated (%)","Nauru","World | Oceania",2016,20.0,"E",
"% of total country area cultivated (%)","New Zealand","World | Oceania",2016,2.409,"E",
"% of total country area cultivated (%)","Niue","World | Oceania",2016,15.38,"E",
"% of total country area cultivated (%)","Palau","World | Oceania",2016,6.522,"E",
"% of total country area cultivated (%)","Samoa","World | Oceania",2016,10.56,"E",
"% of total country area cultivated (%)","Solomon Islands","World | Oceania",2016,3.46,"E",
"% of total country area cultivated (%)","Tokelau","World | Oceania",2016,60.0,"E",
"% of total country area cultivated (%)","Tonga","World | Oceania",2016,38.67,"E",
"% of total country area cultivated (%)","Tuvalu","World | Oceania",2016,60.0,"E",
"% of total country area cultivated (%)","Vanuatu","World | Oceania",2016,11.89,"E",

"",,,,"2013-2017",,
"Total population (1000 inhab)","Algeria","World | Africa",2017,41318.0,"E",
"Total population (1000 inhab)","Angola","World | Africa",2017,29784.0,"E",
"Total population (1000 inhab)","Benin","World | Africa",2017,11176.0,"E",
"Total population (1000 inhab)","Botswana","World | Africa",2017,2292.0,"E",
"Total population (1000 inhab)","Burkina Faso","World | Africa",2017,19193.0,"E",
"Total population (1000 inhab)","Burundi","World | Africa",2017,10864.0,"E",
"Total population (1000 inhab)","Cabo Verde","World | Africa",2017,546.4,"E",
"Total population (1000 inhab)","Cameroon","World | Africa",2017,24054.0,"E",
"Total population (1000 inhab)","Central African Republic","World | Africa",2017,4659.0,"E",
"Total population (1000 inhab)","Chad","World | Africa",2017,14900.0,"E",
"Total population (1000 inhab)","Comoros","World | Africa",2017,813.9,"E",
"Total population (1000 inhab)","Congo","World | Africa",2017,5261.0,"E",
"Total population (1000 inhab)","Côte d'Ivoire","World | Africa",2017,24295.0,"E",
"Total population (1000 inhab)","Democratic Republic of the Congo","World | Africa",2017,81340.0,"E",
"Total population (1000 inhab)","Djibouti","World | Africa",2017,957.0,"E",
"Total population (1000 inhab)","Egypt","World | Africa",2017,97553.0,"E",
"Total population (1000 inhab)","Equatorial Guinea","World | Africa",2017,1268.0,"E",
"Total population (1000 inhab)","Eritrea","World | Africa",2017,5069.0,"E",
"Total population (1000 inhab)","Eswatini","World | Africa",2017,1367.0,"E",
"Total population (1000 inhab)","Ethiopia","World | Africa",2017,104957.0,"E",
"Total population (1000 inhab)","Gabon","World | Africa",2017,2025.0,"E",
"Total population (1000 inhab)","Gambia","World | Africa",2017,2101.0,"E",
"Total population (1000 inhab)","Ghana","World | Africa",2017,28834.0,"E",
"Total population (1000 inhab)","Guinea","World | Africa",2017,12717.0,"E",
"Total population (1000 inhab)","Guinea-Bissau","World | Africa",2017,1861.0,"E",
"Total population (1000 inhab)","Kenya","World | Africa",2017,49700.0,"E",
"Total population (1000 inhab)","Lesotho","World | Africa",2017,2233.0,"E",
"Total population (1000 inhab)","Liberia","World | Africa",2017,4732.0,"E",
"Total population (1000 inhab)","Libya","World | Africa",2017,6375.0,"E",
"Total population (1000 inhab)","Madagascar","World | Africa",2017,25571.0,"E",
"Total population (1000 inhab)","Malawi","World | Africa",2017,18622.0,"E",
"Total population (1000 inhab)","Mali","World | Africa",2017,18542.0,"E",
"Total population (1000 inhab)","Mauritania","World | Africa",2017,4420.0,"E",
"Total population (1000 inhab)","Mauritius","World | Africa",2017,1265.0,"E",
"Total population (1000 inhab)","Morocco","World | Africa",2017,35740.0,"E",
"Total population (1000 inhab)","Mozambique","World | Africa",2017,29669.0,"E",
"Total population (1000 inhab)","Namibia","World | Africa",2017,2534.0,"E",
"Total population (1000 inhab)","Niger","World | Africa",2017,21477.0,"E",
"Total population (1000 inhab)","Nigeria","World | Africa",2017,190886.0,"E",
"Total population (1000 inhab)","Rwanda","World | Africa",2017,12208.0,"E",
"Total population (1000 inhab)","Sao Tome and Principe","World | Africa",2017,204.3,"E",
"Total population (1000 inhab)","Senegal","World | Africa",2017,15851.0,"E",
"Total population (1000 inhab)","Seychelles","World | Africa",2017,94.74,"E",
"Total population (1000 inhab)","Sierra Leone","World | Africa",2017,7557.0,"E",
"Total population (1000 inhab)","Somalia","World | Africa",2017,14743.0,"E",
"Total population (1000 inhab)","South Africa","World | Africa",2017,56717.0,"E",
"Total population (1000 inhab)","South Sudan","World | Africa",2017,12576.0,"E",
"Total population (1000 inhab)","Sudan","World | Africa",2017,40533.0,"E",
"Total population (1000 inhab)","Togo","World | Africa",2017,7798.0,"E",
"Total population (1000 inhab)","Tunisia","World | Africa",2017,11532.0,"E",
"Total population (1000 inhab)","Uganda","World | Africa",2017,42863.0,"E",
"Total population (1000 inhab)","United Republic of Tanzania","World | Africa",2017,57310.0,"E",
"Total population (1000 inhab)","Zambia","World | Africa",2017,17094.0,"E",
"Total population (1000 inhab)","Zimbabwe","World | Africa",2017,16530.0,"E",
"Total population (1000 inhab)","Antigua and Barbuda","World | Americas",2017,102.0,"E",
"Total population (1000 inhab)","Argentina","World | Americas",2017,44271.0,"E",
"Total population (1000 inhab)","Bahamas","World | Americas",2017,395.4,"E",
"Total population (1000 inhab)","Barbados","World | Americas",2017,285.7,"E",
"Total population (1000 inhab)","Belize","World | Americas",2017,374.7,"E",
"Total population (1000 inhab)","Bolivia (Plurinational State of)","World | Americas",2017,11052.0,"E",
"Total population (1000 inhab)","Brazil","World | Americas",2017,209288.0,"E",
"Total population (1000 inhab)","Canada","World | Americas",2017,36624.0,"E",
"Total population (1000 inhab)","Chile","World | Americas",2017,18055.0,"E",
"Total population (1000 inhab)","Colombia","World | Americas",2017,49066.0,"E",
"Total population (1000 inhab)","Costa Rica","World | Americas",2017,4906.0,"E",
"Total population (1000 inhab)","Cuba","World | Americas",2017,11485.0,"E",
"Total population (1000 inhab)","Dominica","World | Americas",2017,73.92,"E",
"Total population (1000 inhab)","Dominican Republic","World | Americas",2017,10767.0,"E",
"Total population (1000 inhab)","Ecuador","World | Americas",2017,16625.0,"E",
"Total population (1000 inhab)","El Salvador","World | Americas",2017,6378.0,"E",
"Total population (1000 inhab)","Grenada","World | Americas",2017,107.8,"E",
"Total population (1000 inhab)","Guatemala","World | Americas",2017,16914.0,"E",
"Total population (1000 inhab)","Guyana","World | Americas",2017,777.9,"E",
"Total population (1000 inhab)","Haiti","World | Americas",2017,10981.0,"E",
"Total population (1000 inhab)","Honduras","World | Americas",2017,9265.0,"E",
"Total population (1000 inhab)","Jamaica","World | Americas",2017,2890.0,"E",
"Total population (1000 inhab)","Mexico","World | Americas",2017,129163.0,"E",
"Total population (1000 inhab)","Nicaragua","World | Americas",2017,6218.0,"E",
"Total population (1000 inhab)","Panama","World | Americas",2017,4099.0,"E",
"Total population (1000 inhab)","Paraguay","World | Americas",2017,6811.0,"E",
"Total population (1000 inhab)","Peru","World | Americas",2017,32165.0,"E",
"Total population (1000 inhab)","Puerto Rico","World | Americas",2017,3663.0,"E",
"Total population (1000 inhab)","Saint Kitts and Nevis","World | Americas",2017,55.34,"E",
"Total population (1000 inhab)","Saint Lucia","World | Americas",2017,178.8,"E",
"Total population (1000 inhab)","Saint Vincent and the Grenadines","World | Americas",2017,109.9,"E",
"Total population (1000 inhab)","Suriname","World | Americas",2017,563.4,"E",
"Total population (1000 inhab)","Trinidad and Tobago","World | Americas",2017,1369.0,"E",
"Total population (1000 inhab)","United States of America","World | Americas",2017,324459.0,"E",
"Total population (1000 inhab)","Uruguay","World | Americas",2017,3457.0,"E",
"Total population (1000 inhab)","Venezuela (Bolivarian Republic of)","World | Americas",2017,31977.0,"E",
"Total population (1000 inhab)","Afghanistan","World | Asia",2017,35530.0,"E",
"Total population (1000 inhab)","Armenia","World | Asia",2017,2930.0,"E",
"Total population (1000 inhab)","Azerbaijan","World | Asia",2017,9828.0,"E",
"Total population (1000 inhab)","Bahrain","World | Asia",2017,1493.0,"E",
"Total population (1000 inhab)","Bangladesh","World | Asia",2017,164670.0,"E",
"Total population (1000 inhab)","Bhutan","World | Asia",2017,807.6,"E",
"Total population (1000 inhab)","Brunei Darussalam","World | Asia",2017,428.7,"E",
"Total population (1000 inhab)","Cambodia","World | Asia",2017,16005.0,"E",
"Total population (1000 inhab)","China","World | Asia",2017,1441131.0,"E",
"Total population (1000 inhab)","Democratic People's Republic of Korea","World | Asia",2017,25491.0,"E",
"Total population (1000 inhab)","Georgia","World | Asia",2017,3912.0,"E",
"Total population (1000 inhab)","India","World | Asia",2017,1339180.0,"E",
"Total population (1000 inhab)","Indonesia","World | Asia",2017,263991.0,"E",
"Total population (1000 inhab)","Iran (Islamic Republic of)","World | Asia",2017,81163.0,"E",
"Total population (1000 inhab)","Iraq","World | Asia",2017,38275.0,"E",
"Total population (1000 inhab)","Israel","World | Asia",2017,8322.0,"E",
"Total population (1000 inhab)","Japan","World | Asia",2017,127484.0,"E",
"Total population (1000 inhab)","Jordan","World | Asia",2017,9702.0,"E",
"Total population (1000 inhab)","Kazakhstan","World | Asia",2017,18204.0,"E",
"Total population (1000 inhab)","Kuwait","World | Asia",2017,4137.0,"E",
"Total population (1000 inhab)","Kyrgyzstan","World | Asia",2017,6045.0,"E",
"Total population (1000 inhab)","Lao People's Democratic Republic","World | Asia",2017,6858.0,"E",
"Total population (1000 inhab)","Lebanon","World | Asia",2017,6082.0,"E",
"Total population (1000 inhab)","Malaysia","World | Asia",2017,31624.0,"E",
"Total population (1000 inhab)","Maldives","World | Asia",2017,436.3,"E",
"Total population (1000 inhab)","Mongolia","World | Asia",2017,3076.0,"E",
"Total population (1000 inhab)","Myanmar","World | Asia",2017,53371.0,"E",
"Total population (1000 inhab)","Nepal","World | Asia",2017,29305.0,"E",
"Total population (1000 inhab)","Oman","World | Asia",2017,4636.0,"E",
"Total population (1000 inhab)","Pakistan","World | Asia",2017,197016.0,"E",
"Total population (1000 inhab)","Palestine","World | Asia",2017,4921.0,"E",
"Total population (1000 inhab)","Papua New Guinea","World | Asia",2017,8251.0,"E",
"Total population (1000 inhab)","Philippines","World | Asia",2017,104918.0,"E",
"Total population (1000 inhab)","Qatar","World | Asia",2017,2639.0,"E",
"Total population (1000 inhab)","Republic of Korea","World | Asia",2017,50982.0,"E",
"Total population (1000 inhab)","Saudi Arabia","World | Asia",2017,32938.0,"E",
"Total population (1000 inhab)","Singapore","World | Asia",2017,5709.0,"E",
"Total population (1000 inhab)","Sri Lanka","World | Asia",2017,20877.0,"E",
"Total population (1000 inhab)","Syrian Arab Republic","World | Asia",2017,18270.0,"E",
"Total population (1000 inhab)","Tajikistan","World | Asia",2017,8921.0,"E",
"Total population (1000 inhab)","Thailand","World | Asia",2017,69038.0,"E",
"Total population (1000 inhab)","Timor-Leste","World | Asia",2017,1296.0,"E",
"Total population (1000 inhab)","Turkey","World | Asia",2017,80745.0,"E",
"Total population (1000 inhab)","Turkmenistan","World | Asia",2017,5758.0,"E",
"Total population (1000 inhab)","United Arab Emirates","World | Asia",2017,9400.0,"E",
"Total population (1000 inhab)","Uzbekistan","World | Asia",2017,31911.0,"E",
"Total population (1000 inhab)","Viet Nam","World | Asia",2017,95541.0,"E",
"Total population (1000 inhab)","Yemen","World | Asia",2017,28250.0,"E",
"Total population (1000 inhab)","Albania","World | Europe",2017,2930.0,"E",
"Total population (1000 inhab)","Andorra","World | Europe",2017,76.96,"E",
"Total population (1000 inhab)","Austria","World | Europe",2017,8735.0,"E",
"Total population (1000 inhab)","Belarus","World | Europe",2017,9468.0,"E",
"Total population (1000 inhab)","Belgium","World | Europe",2017,11429.0,"E",
"Total population (1000 inhab)","Bosnia and Herzegovina","World | Europe",2017,3507.0,"E",
"Total population (1000 inhab)","Bulgaria","World | Europe",2017,7085.0,"E",
"Total population (1000 inhab)","Croatia","World | Europe",2017,4189.0,"E",
"Total population (1000 inhab)","Cyprus","World | Europe",2017,1180.0,"E",
"Total population (1000 inhab)","Czechia","World | Europe",2017,10618.0,"E",
"Total population (1000 inhab)","Denmark","World | Europe",2017,5734.0,"E",
"Total population (1000 inhab)","Estonia","World | Europe",2017,1310.0,"E",
"Total population (1000 inhab)","Faroe Islands","World | Europe",2017,49.29,"E",
"Total population (1000 inhab)","Finland","World | Europe",2017,5523.0,"E",
"Total population (1000 inhab)","France","World | Europe",2017,64980.0,"E",
"Total population (1000 inhab)","Germany","World | Europe",2017,82114.0,"E",
"Total population (1000 inhab)","Greece","World | Europe",2017,11160.0,"E",
"Total population (1000 inhab)","Holy See","World | Europe",2017,0.792,"E",
"Total population (1000 inhab)","Hungary","World | Europe",2017,9722.0,"E",
"Total population (1000 inhab)","Iceland","World | Europe",2017,335.0,"E",
"Total population (1000 inhab)","Ireland","World | Europe",2017,4762.0,"E",
"Total population (1000 inhab)","Italy","World | Europe",2017,59360.0,"E",
"Total population (1000 inhab)","Latvia","World | Europe",2017,1950.0,"E",
"Total population (1000 inhab)","Liechtenstein","World | Europe",2017,37.92,"E",
"Total population (1000 inhab)","Lithuania","World | Europe",2017,2890.0,"E",
"Total population (1000 inhab)","Luxembourg","World | Europe",2017,583.5,"E",
"Total population (1000 inhab)","Malta","World | Europe",2017,430.8,"E",
"Total population (1000 inhab)","Monaco","World | Europe",2017,38.7,"E",
"Total population (1000 inhab)","Montenegro","World | Europe",2017,629.0,"E",
"Total population (1000 inhab)","Netherlands","World | Europe",2017,17036.0,"E",
"Total population (1000 inhab)","North Macedonia","World | Europe",2017,2083.0,"E",
"Total population (1000 inhab)","Norway","World | Europe",2017,5305.0,"E",
"Total population (1000 inhab)","Poland","World | Europe",2017,38171.0,"E",
"Total population (1000 inhab)","Portugal","World | Europe",2017,10330.0,"E",
"Total population (1000 inhab)","Republic of Moldova","World | Europe",2017,4051.0,"E",
"Total population (1000 inhab)","Romania","World | Europe",2017,19679.0,"E",
"Total population (1000 inhab)","Russian Federation","World | Europe",2017,143990.0,"E",
"Total population (1000 inhab)","San Marino","World | Europe",2017,33.4,"E",
"Total population (1000 inhab)","Serbia","World | Europe",2017,8791.0,"E",
"Total population (1000 inhab)","Slovakia","World | Europe",2017,5448.0,"E",
"Total population (1000 inhab)","Slovenia","World | Europe",2017,2080.0,"E",
"Total population (1000 inhab)","Spain","World | Europe",2017,46354.0,"E",
"Total population (1000 inhab)","Sweden","World | Europe",2017,9911.0,"E",
"Total population (1000 inhab)","Switzerland","World | Europe",2017,8476.0,"E",
"Total population (1000 inhab)","Ukraine","World | Europe",2017,44223.0,"E",
"Total population (1000 inhab)","United Kingdom","World | Europe",2017,66182.0,"E",
"Total population (1000 inhab)","Australia","World | Oceania",2017,24450.0,"E",
"Total population (1000 inhab)","Cook Islands","World | Oceania",2017,17.38,"E",
"Total population (1000 inhab)","Fiji","World | Oceania",2017,905.5,"E",
"Total population (1000 inhab)","Kiribati","World | Oceania",2017,116.4,"E",
"Total population (1000 inhab)","Marshall Islands","World | Oceania",2017,53.13,"E",
"Total population (1000 inhab)","Micronesia (Federated States of)","World | Oceania",2017,105.5,"E",
"Total population (1000 inhab)","Nauru","World | Oceania",2017,11.36,"E",
"Total population (1000 inhab)","New Zealand","World | Oceania",2017,4706.0,"E",
"Total population (1000 inhab)","Niue","World | Oceania",2017,1.618,"E",
"Total population (1000 inhab)","Palau","World | Oceania",2017,21.73,"E",
"Total population (1000 inhab)","Samoa","World | Oceania",2017,196.4,"E",
"Total population (1000 inhab)","Solomon Islands","World | Oceania",2017,611.3,"E",
"Total population (1000 inhab)","Tokelau","World | Oceania",2017,1.3,"E",
"Total population (1000 inhab)","Tonga","World | Oceania",2017,108.0,"E",
"Total population (1000 inhab)","Tuvalu","World | Oceania",2017,11.19,"E",
"Total population (1000 inhab)","Vanuatu","World | Oceania",2017,276.2,"E",

"",,,,"2013-2017",,
"Total water withdrawal (10^9 m3/year)","Algeria","World | Africa",2017,10.46,"",
"Total water withdrawal (10^9 m3/year)","Angola","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Benin","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Botswana","World | Africa",2017,0.193,"",
"Total water withdrawal (10^9 m3/year)","Burkina Faso","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Burundi","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Cabo Verde","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Cameroon","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Central African Republic","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Chad","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Comoros","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Congo","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Côte d'Ivoire","World | Africa",2014,1.162,"",
"Total water withdrawal (10^9 m3/year)","Democratic Republic of the Congo","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Djibouti","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Egypt","World | Africa",2017,77.5,"",
"Total water withdrawal (10^9 m3/year)","Equatorial Guinea","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Eritrea","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Eswatini","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Ethiopia","World | Africa",2016,10.55,"K",
"Total water withdrawal (10^9 m3/year)","Gabon","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Gambia","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Ghana","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Guinea","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Guinea-Bissau","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Kenya","World | Africa",2016,4.032,"",
"Total water withdrawal (10^9 m3/year)","Lesotho","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Liberia","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Libya","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Madagascar","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Malawi","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Mali","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Mauritania","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Mauritius","World | Africa",2017,0.616,"",
"Total water withdrawal (10^9 m3/year)","Morocco","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Mozambique","World | Africa",2015,1.473,"",
"Total water withdrawal (10^9 m3/year)","Namibia","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Niger","World | Africa",2017,1.751,"",
"Total water withdrawal (10^9 m3/year)","Nigeria","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Rwanda","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Sao Tome and Principe","World | Africa",2016,0.0409,"",
"Total water withdrawal (10^9 m3/year)","Senegal","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Seychelles","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Sierra Leone","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Somalia","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","South Africa","World | Africa",2017,19.38,"",
"Total water withdrawal (10^9 m3/year)","South Sudan","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Sudan","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Togo","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Tunisia","World | Africa",2017,4.875,"",
"Total water withdrawal (10^9 m3/year)","Uganda","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","United Republic of Tanzania","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Zambia","World | Africa",,,"",
"Total water withdrawal (10^9 m3/year)","Zimbabwe","World | Africa",2017,3.339,"",
"Total water withdrawal (10^9 m3/year)","Antigua and Barbuda","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Argentina","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Bahamas","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Barbados","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Belize","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Bolivia (Plurinational State of)","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Brazil","World | Americas",2017,65.68,"",
"Total water withdrawal (10^9 m3/year)","Canada","World | Americas",2017,35.6,"",
"Total water withdrawal (10^9 m3/year)","Chile","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Colombia","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Costa Rica","World | Americas",2015,3.194,"",
"Total water withdrawal (10^9 m3/year)","Cuba","World | Americas",2013,6.959,"","[1]"
"Total water withdrawal (10^9 m3/year)","Dominica","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Dominican Republic","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Ecuador","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","El Salvador","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Grenada","World | Americas",2014,0.0141,"I",
"Total water withdrawal (10^9 m3/year)","Guatemala","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Guyana","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Haiti","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Honduras","World | Americas",,,"",
"Total water withdrawal (10^9 m3/year)","Jamaica","World | Americas",2016,1.354,"",
"Total water withdrawal (10^9 m3/year)","Mexico","World | Americas",2017,87.84,"",
"Total water withdrawal (10^9 m3/year)","Nicaragua","World | Americas",,,"",
