year,quantity,units,value
1940,dreding,Gt,1.167
1941,dreding,Gt,0.864
1942,dreding,Gt,0.731
1943,dreding,Gt,0.702
1944,dreding,Gt,0.739
1945,dreding,Gt,0.702
1946,dreding,Gt,0.667
1947,dreding,Gt,0.675
1948,dreding,Gt,0.661
1949,dreding,Gt,0.675
1950,dreding,Gt,0.702
1951,dreding,Gt,0.729
1952,dreding,Gt,0.756
1953,dreding,Gt,0.783
1954,dreding,Gt,0.81
1955,dreding,Gt,0.837
1956,dreding,Gt,0.864
1957,dreding,Gt,0.864
1958,dreding,Gt,0.864
1959,dreding,Gt,0.891
1960,dreding,Gt,0.918
1961,dreding,Gt,0.945
1962,dreding,Gt,0.972
1963,dreding,Gt,0.991
1964,dreding,Gt,0.844
1965,dreding,Gt,0.846
1966,dreding,Gt,0.846
1967,dreding,Gt,0.846
1968,dreding,Gt,0.846
1969,dreding,Gt,0.846
1970,dreding,Gt,0.846
1971,dreding,Gt,0.846
1972,dreding,Gt,0.846
1973,dreding,Gt,0.846
1974,dreding,Gt,0.846
1975,dreding,Gt,0.846
1976,dreding,Gt,0.846
1977,dreding,Gt,0.846
1978,dreding,Gt,0.846
1979,dreding,Gt,0.846
1980,dreding,Gt,0.846
1981,dreding,Gt,0.865
1982,dreding,Gt,0.873
1983,dreding,Gt,0.882
1984,dreding,Gt,0.891
1985,dreding,Gt,0.9
1986,dreding,Gt,0.918
1987,dreding,Gt,0.936
1988,dreding,Gt,0.954
1989,dreding,Gt,0.972
1990,dreding,Gt,0.99
1991,dreding,Gt,1.053
1992,dreding,Gt,1.08
1993,dreding,Gt,1.125
1994,dreding,Gt,1.17
1995,dreding,Gt,1.26
1996,dreding,Gt,1.35
1997,dreding,Gt,1.44
1998,dreding,Gt,1.53
1999,dreding,Gt,1.62
2000,dreding,Gt,1.861
2001,dreding,Gt,2.018
2002,dreding,Gt,2.176
2003,dreding,Gt,2.334
2004,dreding,Gt,2.491
2005,dreding,Gt,2.649
2006,dreding,Gt,2.589
2007,dreding,Gt,3.355
2008,dreding,Gt,3.769
2009,dreding,Gt,4.062
2010,dreding,Gt,4.259
2011,dreding,Gt,4.877
2012,dreding,Gt,5.826
2013,dreding,Gt,6.832
2014,dreding,Gt,8.086
2015,dreding,Gt,9.857
1925,total ,Gt,4.073
1926,total ,Gt,4.173
1927,total ,Gt,4.569
1928,total ,Gt,4.772
1929,total ,Gt,5.104
1930,total ,Gt,4.871
1931,total ,Gt,4.469
1932,total ,Gt,4.102
1933,total ,Gt,4.269
1934,total ,Gt,5.055
1935,total ,Gt,5.203
1936,total ,Gt,5.501
1937,total ,Gt,6.651
1938,total ,Gt,6.316
1939,total ,Gt,6.654
1940,total ,Gt,7.193
1941,total ,Gt,7.401
1942,total ,Gt,7.27
1943,total ,Gt,7.268
1944,total ,Gt,6.939
1945,total ,Gt,5.855
1946,total ,Gt,6.914
1947,total ,Gt,7.982
1948,total ,Gt,8.712
1949,total ,Gt,9.312
1950,total ,Gt,10.476
1951,total ,Gt,11.575
1952,total ,Gt,12.204
1953,total ,Gt,13.145
1954,total ,Gt,13.978
1955,total ,Gt,15.635
1956,total ,Gt,17.125
1957,total ,Gt,18.251
1958,total ,Gt,19.621
1959,total ,Gt,21.44
1960,total ,Gt,23.253
1961,total ,Gt,23.535
1962,total ,Gt,25.339
1963,total ,Gt,27.276
1964,total ,Gt,29.644
1965,total ,Gt,31.362
1966,total ,Gt,33.387
1967,total ,Gt,33.975
1968,total ,Gt,36.108
1969,total ,Gt,38.884
1970,total ,Gt,41.359
1971,total ,Gt,42.908
1972,total ,Gt,46.908
1973,total ,Gt,49.64
1974,total ,Gt,51.072
1975,total ,Gt,53.205
1976,total ,Gt,56.178
1977,total ,Gt,60.386
1978,total ,Gt,63.583
1979,total ,Gt,66.449
1980,total ,Gt,68.369
1981,total ,Gt,69.778
1982,total ,Gt,72.162
1983,total ,Gt,74.423
1984,total ,Gt,78.354
1985,total ,Gt,82.28
1986,total ,Gt,86.453
1987,total ,Gt,90.522
1988,total ,Gt,95.389
1989,total ,Gt,94.14
1990,total ,Gt,93.552
1991,total ,Gt,96.607
1992,total ,Gt,96.99
1993,total ,Gt,104.845
1994,total ,Gt,111.415
1995,total ,Gt,117.854
1996,total ,Gt,122.052
1997,total ,Gt,127.017
1998,total ,Gt,127.153
1999,total ,Gt,128.335
2000,total ,Gt,132.969
2001,total ,Gt,142.618
2002,total ,Gt,150.416
2003,total ,Gt,164.395
2004,total ,Gt,179.83
2005,total ,Gt,192.83
2006,total ,Gt,210.146
2007,total ,Gt,224.27
2008,total ,Gt,230.029
2009,total ,Gt,241.547
2010,total ,Gt,259.177
2011,total ,Gt,285.846
2012,total ,Gt,299.029
2013,total ,Gt,314.906
2014,total ,Gt,321.64
2015,total ,Gt,315.867
